number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.8892514566318093,0.8892514566318093,0.722632718226299,201,0.7063645971267435,0.02847689595238091,7,3,2563,4.327751055253681,4.759291909915813,0.48259997313756753,COMPLETE
1,0.8791555352008753,0.8791555352008753,0.5873675923545598,291,1.5661032139664233,0.06931083209150755,22,7,3401,3.667547590300374,1.004854479490539,0.8515333124914514,COMPLETE
2,0.858219474340381,0.858219474340381,0.8839675429588079,165,4.601225353129588,0.021163913392590133,6,10,540,1.1397254928578315,0.9864867943929867,0.4432806529139086,COMPLETE
3,0.8920254179070302,0.8920254179070302,0.7656531895271629,304,0.9022946881497723,0.041687768784213965,10,9,2855,0.39621540417726364,3.4374187413134405,0.8242445961963157,COMPLETE
4,0.8756278146706359,0.8756278146706359,0.7624556841274825,282,3.345405543056374,0.016672211208851005,15,4,3276,3.2888776833035194,0.8724230776360553,0.856237020427227,COMPLETE
