trial_number,value_for_optimization,fold_metrics
46,0.9254988162612754,"[0.9232736572890026, 0.9312169312169312, 0.9265822784810127, 0.9224598930481284, 0.9312169312169312, 0.9381720430107527, 0.90625, 0.9322916666666666, 0.9130434782608695, 0.93048128342246]"
47,0.9253432399650153,"[0.9282051282051282, 0.9365079365079365, 0.9246231155778895, 0.9224598930481284, 0.926509186351706, 0.9407008086253369, 0.8987012987012987, 0.9304123711340206, 0.917312661498708, 0.928]"
48,0.919892221857034,"[0.9090909090909091, 0.9278074866310161, 0.9191919191919192, 0.9151193633952255, 0.9310344827586207, 0.9400544959128065, 0.9028132992327366, 0.921875, 0.9035532994923858, 0.9283819628647215]"
49,0.9255424147061287,"[0.9312977099236641, 0.9261213720316622, 0.9291139240506329, 0.9220430107526881, 0.9291338582677166, 0.940379403794038, 0.90625, 0.9226804123711341, 0.9177377892030848, 0.9306666666666666]"
50,0.9218230640427449,"[0.9170854271356784, 0.9365079365079365, 0.9316455696202531, 0.9274193548387096, 0.9322916666666666, 0.9315789473684211, 0.8954081632653061, 0.9145077720207254, 0.910941475826972, 0.920844327176781]"
51,0.9258087348862686,"[0.9263959390862944, 0.9347258485639687, 0.9267676767676768, 0.9251336898395722, 0.9268929503916449, 0.9391534391534392, 0.9010416666666666, 0.9300518134715026, 0.9149484536082474, 0.9329758713136729]"
52,0.9246778523536794,"[0.9263959390862944, 0.922077922077922, 0.9321608040201005, 0.92, 0.9342105263157895, 0.9312169312169312, 0.9064935064935065, 0.9326424870466321, 0.9128205128205128, 0.9287598944591029]"
53,0.9224089714649754,"[0.9215189873417722, 0.9310344827586207, 0.9292929292929293, 0.9151193633952255, 0.9291338582677166, 0.9385026737967914, 0.9020618556701031, 0.9252577319587629, 0.9090909090909091, 0.9230769230769231]"
54,0.9242396548145984,"[0.9312977099236641, 0.9250645994832042, 0.9314720812182741, 0.9226666666666666, 0.9268929503916449, 0.9381720430107527, 0.9041450777202072, 0.9321148825065274, 0.9060913705583756, 0.9244791666666666]"
55,0.9194299454234175,"[0.916030534351145, 0.9155672823218998, 0.9166666666666666, 0.9197860962566845, 0.937007874015748, 0.9249329758713136, 0.9030612244897959, 0.9216710182767625, 0.9102564102564102, 0.9293193717277487]"
56,0.9247959587493966,"[0.9291139240506329, 0.9226804123711341, 0.9273182957393483, 0.9251336898395722, 0.93717277486911, 0.9361702127659575, 0.9064935064935065, 0.9302325581395349, 0.9048843187660668, 0.9287598944591029]"
57,0.921692264087633,"[0.92, 0.9192708333333334, 0.924433249370277, 0.9171122994652406, 0.9263157894736842, 0.9354838709677419, 0.9067357512953368, 0.9268929503916449, 0.9149484536082474, 0.9257294429708223]"
58,0.9213807770443314,"[0.9175, 0.9224806201550387, 0.9287531806615776, 0.9148936170212766, 0.9270833333333334, 0.9433962264150944, 0.897172236503856, 0.9226804123711341, 0.9107142857142857, 0.9291338582677166]"
59,0.9213836367351724,"[0.9215189873417722, 0.926509186351706, 0.9291139240506329, 0.9124668435013262, 0.9240837696335078, 0.9381720430107527, 0.8992248062015504, 0.9175257731958762, 0.9196891191709845, 0.925531914893617]"
60,0.9239966872389503,"[0.9189873417721519, 0.936, 0.9311224489795918, 0.9148936170212766, 0.922077922077922, 0.9331550802139037, 0.9064935064935065, 0.9319371727748691, 0.9121447028423773, 0.9331550802139037]"
61,0.9269426284758252,"[0.9260204081632653, 0.9236842105263158, 0.9338422391857506, 0.9177718832891246, 0.9366754617414248, 0.94579945799458, 0.9048843187660668, 0.9373368146214099, 0.9102564102564102, 0.9331550802139037]"
62,0.9220907936749014,"[0.9240506329113924, 0.9259259259259259, 0.9213197969543148, 0.9222520107238605, 0.9242819843342036, 0.9354838709677419, 0.8992248062015504, 0.9207161125319693, 0.9192708333333334, 0.9283819628647215]"
63,0.9247302582379296,"[0.9172932330827067, 0.9315789473684211, 0.924433249370277, 0.9247311827956989, 0.9312169312169312, 0.9327956989247311, 0.9116883116883117, 0.9250645994832042, 0.9151670951156813, 0.9333333333333333]"
64,0.9223824762529622,"[0.9223057644110275, 0.9175257731958762, 0.9267676767676768, 0.9222520107238605, 0.9308510638297872, 0.9381720430107527, 0.8923076923076924, 0.9248704663212435, 0.9177377892030848, 0.9310344827586207]"
65,0.9261174330975429,"[0.9219143576826196, 0.9391534391534392, 0.9236641221374046, 0.9297297297297298, 0.9287598944591029, 0.935656836461126, 0.904639175257732, 0.9348958333333334, 0.9194805194805195, 0.9232804232804233]"
66,0.9273288559938424,"[0.92, 0.9358288770053476, 0.9314720812182741, 0.927027027027027, 0.9287598944591029, 0.9433962264150944, 0.910761154855643, 0.935064935064935, 0.9125964010282777, 0.9283819628647215]"
67,0.925132288841042,"[0.9195979899497487, 0.9285714285714286, 0.9289340101522843, 0.927027027027027, 0.9338624338624338, 0.9331550802139037, 0.9093264248704663, 0.9298701298701298, 0.9125964010282777, 0.9283819628647215]"
68,0.926693197442132,"[0.924433249370277, 0.936, 0.9314720812182741, 0.9257294429708223, 0.9291338582677166, 0.9331550802139037, 0.9093264248704663, 0.9298701298701298, 0.9222797927461139, 0.925531914893617]"
69,0.9211752398294871,"[0.9154228855721394, 0.9313984168865436, 0.9238578680203046, 0.9220430107526881, 0.9076517150395779, 0.935656836461126, 0.9048843187660668, 0.9298701298701298, 0.9104859335038363, 0.93048128342246]"
70,0.9253401715571666,"[0.9177057356608479, 0.9358288770053476, 0.9312977099236641, 0.9247311827956989, 0.9287598944591029, 0.9353099730458221, 0.9093264248704663, 0.9270833333333334, 0.9151670951156813, 0.9281914893617021]"
71,0.9258741169240583,"[0.9238578680203046, 0.9312169312169312, 0.9289340101522843, 0.920844327176781, 0.9312169312169312, 0.9310344827586207, 0.9112271540469974, 0.9321148825065274, 0.9201030927835051, 0.9281914893617021]"
72,0.9264974374166821,"[0.9238578680203046, 0.9293193717277487, 0.9365482233502538, 0.9278074866310161, 0.9312169312169312, 0.9333333333333333, 0.90625, 0.93717277486911, 0.9153846153846154, 0.9240837696335078]"
73,0.9261786133414678,"[0.9197994987468672, 0.9386666666666666, 0.9335038363171355, 0.9247311827956989, 0.9363395225464191, 0.9331550802139037, 0.9067357512953368, 0.9322916666666666, 0.9134860050890585, 0.9230769230769231]"
74,0.9258066682860171,"[0.9195979899497487, 0.9315789473684211, 0.9314720812182741, 0.9243243243243243, 0.9310344827586207, 0.9354838709677419, 0.904639175257732, 0.9347258485639687, 0.9194805194805195, 0.9257294429708223]"
