number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
26,0.9109667190775383,0.9109667190775383,0.734251714776412,118,0.5381245791311956,0.00886056733533265,19,1,2403,0.8365948602818447,4.110049301073536,0.6577935106375803,COMPLETE
27,0.9109260986833843,0.9109260986833843,0.652035394782531,124,0.5392548468278671,0.008499465708185782,19,1,2325,0.7690195157319907,4.139809137693853,0.6718466661561029,COMPLETE
28,0.9055880830633688,0.9055880830633688,0.6332186730272436,164,2.1069804492100204,0.007901393353536224,19,1,1686,0.08526864223820019,4.930449338653153,0.6552105825733985,COMPLETE
29,0.8942817755030811,0.8942817755030811,0.7495290253856078,298,3.964237757190327,0.005575644141241548,19,1,632,0.7863835049118613,4.224007197461454,0.6645295422742213,COMPLETE
30,0.9029702177613498,0.9029702177613498,0.7308454079005655,173,0.9874266020285583,0.027820101342485568,16,10,2386,3.2542830634160627,1.3505457335571847,0.5945070164017372,COMPLETE
31,0.908786210647089,0.908786210647089,0.6634170945255156,120,0.6025151622730313,0.010020679072653551,20,1,2271,0.9844559660610184,4.008964646144214,0.6967404187925521,COMPLETE
32,0.9105593979192317,0.9105593979192317,0.6764644643564283,115,0.41199367444823043,0.0088132894567762,23,1,2482,1.571633269268058,4.14799252220632,0.6910211917981713,COMPLETE
33,0.9051989503219552,0.9051989503219552,0.648699264031897,142,1.4509536894042907,0.008147255149443538,23,2,2470,1.6321066166402098,4.582038270031898,0.6077122970276596,COMPLETE
34,0.9076953556776992,0.9076953556776992,0.7305693369957196,113,0.39091667146859876,0.015912385640122692,17,3,2056,0.044767601701295456,4.799794466948582,0.6964538854538924,COMPLETE
35,0.8943684884544864,0.8943684884544864,0.6076176679654532,103,3.2953569927553246,0.0073616151181920865,24,5,1514,1.4897467031394953,2.8552472037753374,0.5559798890802442,COMPLETE
36,0.9055358720654061,0.9055358720654061,0.6718427874373779,91,1.4024488414373608,0.0061812027874569055,21,6,2734,0.5360163849050077,4.682939514177475,0.6468238435933988,COMPLETE
37,0.9091476791958595,0.9091476791958595,0.8280512607461674,183,0.5060188524598273,0.025854128338542684,15,1,2974,2.6580601746888335,4.170582921561146,0.7332590414327995,COMPLETE
38,0.9072507641995948,0.9072507641995948,0.779682578347874,136,0.9401362426124595,0.011816881465942626,18,2,1926,0.7259513050702922,1.8565523139211462,0.5886744968430582,COMPLETE
39,0.8843373850188498,0.8843373850188498,0.7216589990412137,217,2.9229731666824943,0.014293314567936697,25,4,114,0.37561933146457493,3.515691768447132,0.6823082990016888,COMPLETE
40,0.9051309106969558,0.9051309106969558,0.7633628811500187,386,1.1474975868414587,0.006576807943979171,23,3,1156,2.1771780430849534,0.8881880606699011,0.7396328840614972,COMPLETE
41,0.9117021052375656,0.9117021052375656,0.6946305793030971,114,0.4181810465203491,0.008877851793270811,28,1,2368,0.8845006197275855,3.9173491426587326,0.7472726484855271,COMPLETE
42,0.9109825726533443,0.9109825726533443,0.6796834563886909,84,0.37356768008969615,0.008726879498220982,28,1,2558,0.7279879832184134,3.8700213054049906,0.6225363620647534,COMPLETE
43,0.9121779609458354,0.9121779609458354,0.6779260380402533,93,0.39760633892230274,0.008596632461540197,29,1,2556,0.3447384534698129,4.505551590644511,0.6157696890962551,COMPLETE
44,0.9097560609776709,0.9097560609776709,0.6024492006905879,86,0.7685907371364524,0.011050648552086218,28,1,2652,0.3212603668156256,4.533478570309349,0.6280811567558345,COMPLETE
45,0.9094479175652893,0.9094479175652893,0.7087919034074055,133,0.39048815326735015,0.00661810371413538,11,1,2193,0.691090414553052,3.8609579055951384,0.5654432778534939,COMPLETE
46,0.9083829251617977,0.9083829251617977,0.636529524481215,257,1.0423841782595145,0.005010214560097978,28,2,2481,0.2223705242433387,0.2530394670385143,0.4770881144868239,COMPLETE
