SIDECHAINS_Br,SIDECHAINS_C,SIDECHAINS_C#C,SIDECHAINS_C#N,SIDECHAINS_C=C,SIDECHAINS_C=CC,SIDECHAINS_C=C\C,SIDECHAINS_C=N,SIDECHAINS_C=O,SIDECHAINS_CBr,SIDECHAINS_CC,SIDECHAINS_CC(C)C,SIDECHAINS_CC(C)N,SIDECHAINS_CC(C)O,SIDECHAINS_CC(F)F,SIDECHAINS_CC=C,SIDECHAINS_CC=O,SIDECHAINS_CCC,SIDECHAINS_CCN,SIDECHAINS_CCO,SIDECHAINS_CCS,SIDECHAINS_CCl,SIDECHAINS_CF,SIDECHAINS_CN,SIDECHAINS_CNC,SIDECHAINS_CNS,SIDECHAINS_CO,SIDECHAINS_CP,SIDECHAINS_CS,SIDECHAINS_CS(=O)=O,SIDECHAINS_C_N+_,SIDECHAINS_C_N+_(C)C,SIDECHAINS_C_S+_,SIDECHAINS_C_S+__O-_,SIDECHAINS_C\C=C,SIDECHAINS_C\C=N,SIDECHAINS_Cl,SIDECHAINS_ClC(Cl)Cl,SIDECHAINS_ClCCl,SIDECHAINS_F,SIDECHAINS_FC(F)F,SIDECHAINS_FCF,SIDECHAINS_I,SIDECHAINS_N,SIDECHAINS_N=CN,SIDECHAINS_N=N,SIDECHAINS_N=O,SIDECHAINS_N=_N+_,SIDECHAINS_NC=O,SIDECHAINS_NC=S,SIDECHAINS_NCN,SIDECHAINS_NN,SIDECHAINS_NO,SIDECHAINS_NS,SIDECHAINS_NS(=O)=O,SIDECHAINS_O,SIDECHAINS_O=CO,SIDECHAINS_O=CS,SIDECHAINS_O=P,SIDECHAINS_O=P(O)O,SIDECHAINS_O=S,SIDECHAINS_O=S(=O)O,SIDECHAINS_O=S=O,SIDECHAINS_O=_N+__O-_,SIDECHAINS_OP,SIDECHAINS_OS,SIDECHAINS_S,SIDECHAINS__N+_=O,SIDECHAINS__N+_O,SIDECHAINS__N-_,SIDECHAINS__N-_=_N+_,SIDECHAINS__O-_
0.00021614257,0.0504342,0.0010390643,0.001314608,-0.0011859119,-0.0,-0.0,0.0018477216,0.016484221,-0.0,-0.072045796,0.00014764107,-0.0,-0.0,-0.0,-0.0,0.009043975,-0.1733806,-0.0013578224,-0.019611182,-0.0,-0.0,-0.0,0.034085367,0.0029306752,-0.0,-0.031823058,-0.0,0.006450762,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.014689502,-0.0,-0.0,-0.021703131,-0.0002106403,-0.0,0.0003545215,-0.016388211,-0.0,-0.0,-0.0,-0.0,-0.0039695743,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09370125,0.06525374,-0.0,-0.0,-0.0,-0.0,-0.0,0.0016899267,-0.0,-0.0,-0.0,0.004355488,-0.0,-0.0,-0.0,-0.0,-0.0
-0.009223846,0.0042284606,0.0047421656,0.00033292454,-0.00031085842,-0.0,-0.0,0.0017277698,0.02785483,-0.0,-0.0026972115,0.0008882783,-0.0,-0.0,-0.0,-0.0,0.005297486,0.019036636,0.00059647526,-0.0082418155,-0.0,-0.0,-0.0,-0.05193132,0.0022776173,-0.0,-0.060702067,-0.0,0.010317138,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.06372047,-0.0,-0.0,-0.037258763,-0.0002106403,-0.0,0.00022246744,-0.0067783915,-0.0,-0.0,-0.0,-0.0,0.00040124232,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.18009531,0.087818354,-0.0,-0.0,-0.0,-0.0,-0.0,0.008232527,-0.0,-0.0,-0.0,0.0063199936,-0.0,-0.0,-0.0,-0.0,-0.0
9.294676e-05,0.02047577,0.0022135447,0.00019811737,0.0011541945,-0.0,-0.0,0.002337906,0.009835016,-0.0,-0.052008834,0.00024016874,-0.0,-0.0,-0.0,-0.0,0.057876416,0.00991318,-0.00054590125,-0.00908623,-0.0,-0.0,-0.0,-0.018866312,0.001791096,-0.0,-2.4840701e-05,-0.0,0.0050862483,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.11870339,-0.0,-0.0,0.58769655,-0.00011091715,-0.0,0.00014302328,-0.007022406,-0.0,-0.0,-0.0,-0.0,0.002418305,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.07501785,0.062314045,-0.0,-0.0,-0.0,-0.0,-0.0,0.0014560652,-0.0,-0.0,-0.0,0.0044492194,-0.0,-0.0,-0.0,-0.0,-0.0
0.00021614257,0.025906825,0.0012029388,0.001314608,-0.00039092908,-0.0,-0.0,0.0026235941,0.03391991,-0.0,-0.0013154959,0.00024016874,-0.0,-0.0,-0.0,-0.0,0.0019345966,0.0075966967,-0.0011061048,-0.009497967,-0.0,-0.0,-0.0,-0.061879262,0.0006666047,-0.0,-0.05235208,-0.0,0.0045046285,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.023489485,-0.0,-0.0,-0.016089534,-0.0002106403,-0.0,0.00018413615,-0.01241519,-0.0,-0.0,-0.0,-0.0,-0.00018148152,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.32740328,0.07662238,-0.0,-0.0,-0.0,-0.0,-0.0,0.0020772172,-0.0,-0.0,-0.0,0.0054396684,-0.0,-0.0,-0.0,-0.0,-0.0
9.642257e-05,-0.02217351,0.0010671904,0.0003281852,-5.0649083e-05,-0.0,-0.0,0.0019996124,-0.13381833,-0.0,0.01419192,0.00024016874,-0.0,-0.0,-0.0,-0.0,-0.004471595,0.004492308,-0.0013301163,-0.016645338,-0.0,-0.0,-0.0,0.19721586,-0.025177527,-0.0,-0.042263288,-0.0,0.007034309,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.09895512,-0.0,-0.0,-0.046893414,-0.0002106403,-0.0,0.00019506298,0.08532188,-0.0,-0.0,-0.0,-0.0,-0.0022842346,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16304243,0.068964586,-0.0,-0.0,-0.0,-0.0,-0.0,0.00083291915,-0.0,-0.0,-0.0,0.004049221,-0.0,-0.0,-0.0,-0.0,-0.0
0.00021614257,0.14016843,0.0011027982,0.0003281852,-0.00045209454,-0.0,-0.0,0.0025167486,0.024996588,-0.0,-0.091232404,0.00024016874,-0.0,-0.0,-0.0,-0.0,0.0023561807,0.0074078096,-0.0010209647,-0.010242434,-0.0,-0.0,-0.0,0.0011520755,0.002070649,-0.0,-0.037048906,-0.0,0.008564358,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.014730843,-0.0,-0.0,-0.014857489,-0.0002106403,-0.0,0.00053891074,0.09328498,-0.0,-0.0,-0.0,-0.0,-0.003921442,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.27119038,0.10544303,-0.0,-0.0,-0.0,-0.0,-0.0,0.0014651008,-0.0,-0.0,-0.0,0.005011873,-0.0,-0.0,-0.0,-0.0,-0.0
0.00021614257,0.017540358,0.0047421656,0.00033292454,-0.00020882548,-0.0,-0.0,0.0020633752,0.03474243,-0.0,0.038340744,0.0008882783,-0.0,-0.0,-0.0,-0.0,0.005222197,0.022130858,-0.00014651551,-0.011147046,-0.0,-0.0,-0.0,0.16868322,0.0019888093,-0.0,0.07316766,-0.0,0.010167886,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.005432293,-0.0,-0.0,-0.031885687,-0.0002106403,-0.0,0.00024714984,0.00067183655,-0.0,-0.0,-0.0,-0.0,0.0028420556,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.28779018,0.10350909,-0.0,-0.0,-0.0,-0.0,-0.0,0.0066823526,-0.0,-0.0,-0.0,0.006099838,-0.0,-0.0,-0.0,-0.0,-0.0
0.00021614257,-0.01123816,0.0041883565,0.00033292454,-0.00030147604,-0.0,-0.0,0.0021210322,0.025306117,-0.0,0.065717645,0.0008882783,-0.0,-0.0,-0.0,-0.0,0.010181275,0.014602267,0.0019172691,-0.010766728,-0.0,-0.0,-0.0,0.10835039,0.0020850985,-0.0,0.032274764,-0.0,0.008742361,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0053153387,-0.0,-0.0,-0.022364788,-0.0002106403,-0.0,0.00033964447,0.0071092853,-0.0,-0.0,-0.0,-0.0,0.00024215571,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.17121534,0.09189958,-0.0,-0.0,-0.0,-0.0,-0.0,0.0054092607,-0.0,-0.0,-0.0,0.006300388,-0.0,-0.0,-0.0,-0.0,-0.0
0.00021614257,-0.03548536,0.0047421656,0.00033292454,0.001167372,-0.0,-0.0,0.0026158942,0.036006603,-0.0,0.064419374,0.0008882783,-0.0,-0.0,-0.0,-0.0,0.0022568868,0.017168593,2.4226581e-05,-0.012265856,-0.0,-0.0,-0.0,0.22106972,0.00027970347,-0.0,0.092367485,-0.0,0.008756698,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.020269142,-0.0,-0.0,-0.038242616,-0.0002106403,-0.0,0.0003719811,-0.0050804345,-0.0,-0.0,-0.0,-0.0,0.00053387287,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0610069,0.08124772,-0.0,-0.0,-0.0,-0.0,-0.0,0.007372412,-0.0,-0.0,-0.0,0.0058536567,-0.0,-0.0,-0.0,-0.0,-0.0
9.683142e-05,-0.009544075,0.00074641505,6.1549385e-05,0.000611943,-0.0,-0.0,0.0018089191,-0.11782394,-0.0,-0.00705196,0.0003293593,-0.0,-0.0,-0.0,-0.0,-0.016398096,0.009583879,-0.0082795825,-0.034881756,-0.0,-0.0,-0.0,-0.06052243,0.002985743,-0.0,0.019191569,-0.0,0.004808174,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0111329565,-0.0,-0.0,-0.044120595,-0.0010426856,-0.0,0.00015116407,-0.011441437,-0.0,-0.0,-0.0,-0.0,-0.008358896,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.028693244,-0.37174258,-0.0,-0.0,-0.0,-0.0,-0.0,0.0011874165,-0.0,-0.0,-0.0,0.0034996,-0.0,-0.0,-0.0,-0.0,-0.0
