trial_number,value_for_optimization,fold_metrics
17,0.8847066381701143,"[0.906801007556675, 0.8866498740554156, 0.9093198992443325, 0.8589420654911839, 0.8863636363636364, 0.8712121212121212, 0.8838383838383839, 0.8888888888888888, 0.8787878787878788, 0.8762626262626263]"
18,0.86982609470015,"[0.8916876574307305, 0.8488664987405542, 0.8916876574307305, 0.8564231738035264, 0.8737373737373737, 0.8409090909090909, 0.8762626262626263, 0.8787878787878788, 0.8787878787878788, 0.8611111111111112]"
19,0.8821864743149378,"[0.9118387909319899, 0.8664987405541562, 0.9093198992443325, 0.853904282115869, 0.8813131313131313, 0.8636363636363636, 0.8813131313131313, 0.8964646464646465, 0.8888888888888888, 0.8686868686868687]"
20,0.8791548991171159,"[0.9118387909319899, 0.8765743073047859, 0.8992443324937027, 0.8589420654911839, 0.8737373737373737, 0.8560606060606061, 0.8787878787878788, 0.8863636363636364, 0.8762626262626263, 0.8737373737373737]"
21,0.8889982952955245,"[0.924433249370277, 0.8740554156171285, 0.906801007556675, 0.8614609571788413, 0.8914141414141414, 0.8712121212121212, 0.8914141414141414, 0.898989898989899, 0.8939393939393939, 0.8762626262626263]"
22,0.8902596493906317,"[0.9193954659949622, 0.8816120906801007, 0.8992443324937027, 0.871536523929471, 0.8863636363636364, 0.8787878787878788, 0.8964646464646465, 0.8964646464646465, 0.8939393939393939, 0.8787878787878788]"
23,0.8821877464824569,"[0.8992443324937027, 0.8740554156171285, 0.9093198992443325, 0.853904282115869, 0.8914141414141414, 0.8560606060606061, 0.8863636363636364, 0.8964646464646465, 0.8813131313131313, 0.8737373737373737]"
24,0.8975707961224335,"[0.9143576826196473, 0.906801007556675, 0.9269521410579346, 0.871536523929471, 0.8939393939393939, 0.8888888888888888, 0.8787878787878788, 0.9015151515151515, 0.8964646464646465, 0.8964646464646465]"
25,0.8970701982036996,"[0.9219143576826196, 0.8765743073047859, 0.9193954659949622, 0.8841309823677582, 0.8964646464646465, 0.8813131313131313, 0.8787878787878788, 0.9116161616161617, 0.9040404040404041, 0.8964646464646465]"
26,0.8998473398977179,"[0.9193954659949622, 0.8841309823677582, 0.9269521410579346, 0.8740554156171285, 0.9090909090909091, 0.8888888888888888, 0.8914141414141414, 0.9090909090909091, 0.9015151515151515, 0.8939393939393939]"
27,0.8945474900134851,"[0.9143576826196473, 0.889168765743073, 0.9193954659949622, 0.8690176322418136, 0.8964646464646465, 0.8838383838383839, 0.8863636363636364, 0.8964646464646465, 0.8964646464646465, 0.8939393939393939]"
28,0.8973195430374272,"[0.9168765743073047, 0.9017632241813602, 0.9219143576826196, 0.8740554156171285, 0.898989898989899, 0.8813131313131313, 0.8964646464646465, 0.898989898989899, 0.8888888888888888, 0.8939393939393939]"
29,0.8922715823219602,"[0.9269521410579346, 0.8916876574307305, 0.9168765743073047, 0.8690176322418136, 0.8914141414141414, 0.8762626262626263, 0.8863636363636364, 0.8939393939393939, 0.8939393939393939, 0.8762626262626263]"
30,0.8965645116148895,"[0.9143576826196473, 0.8916876574307305, 0.9269521410579346, 0.871536523929471, 0.898989898989899, 0.8863636363636364, 0.8787878787878788, 0.9040404040404041, 0.898989898989899, 0.8939393939393939]"
31,0.8955544106047885,"[0.9219143576826196, 0.8816120906801007, 0.9269521410579346, 0.8740554156171285, 0.8964646464646465, 0.8888888888888888, 0.8888888888888888, 0.898989898989899, 0.8964646464646465, 0.8813131313131313]"
32,0.8970638373661044,"[0.929471032745592, 0.8967254408060453, 0.9219143576826196, 0.8790931989924433, 0.8939393939393939, 0.8838383838383839, 0.8888888888888888, 0.8964646464646465, 0.8888888888888888, 0.8914141414141414]"
33,0.8978271378775158,"[0.924433249370277, 0.8816120906801007, 0.9219143576826196, 0.8765743073047859, 0.8964646464646465, 0.8888888888888888, 0.8964646464646465, 0.9015151515151515, 0.9015151515151515, 0.8888888888888888]"
34,0.8937899142559094,"[0.9143576826196473, 0.8916876574307305, 0.924433249370277, 0.8614609571788413, 0.898989898989899, 0.8787878787878788, 0.8863636363636364, 0.9015151515151515, 0.9015151515151515, 0.8787878787878788]"
35,0.8932816833320611,"[0.9219143576826196, 0.889168765743073, 0.9193954659949622, 0.8740554156171285, 0.8939393939393939, 0.8838383838383839, 0.8762626262626263, 0.9040404040404041, 0.898989898989899, 0.8712121212121212]"
36,0.8978271378775158,"[0.9168765743073047, 0.8866498740554156, 0.9219143576826196, 0.8790931989924433, 0.9015151515151515, 0.8914141414141414, 0.8813131313131313, 0.898989898989899, 0.9040404040404041, 0.8964646464646465]"
37,0.8894988932142585,"[0.9168765743073047, 0.8866498740554156, 0.9168765743073047, 0.8639798488664987, 0.8914141414141414, 0.8737373737373737, 0.8813131313131313, 0.8914141414141414, 0.8914141414141414, 0.8813131313131313]"
38,0.8930329745820931,"[0.924433249370277, 0.8866498740554156, 0.9118387909319899, 0.8664987405541562, 0.8939393939393939, 0.8762626262626263, 0.8914141414141414, 0.8964646464646465, 0.8964646464646465, 0.8863636363636364]"
39,0.8854648500114495,"[0.9118387909319899, 0.8841309823677582, 0.9093198992443325, 0.853904282115869, 0.8863636363636364, 0.8813131313131313, 0.8863636363636364, 0.8838383838383839, 0.8888888888888888, 0.8686868686868687]"
40,0.8781505228608504,"[0.9042821158690176, 0.8690176322418136, 0.8942065491183879, 0.8564231738035264, 0.8813131313131313, 0.8636363636363636, 0.8762626262626263, 0.8888888888888888, 0.8838383838383839, 0.8636363636363636]"
41,0.89757524870875,"[0.9118387909319899, 0.8916876574307305, 0.924433249370277, 0.8740554156171285, 0.898989898989899, 0.8863636363636364, 0.8888888888888888, 0.9040404040404041, 0.9015151515151515, 0.8939393939393939]"
