trial_number,value_for_optimization,fold_metrics
23,0.9719301376999262,"[np.float64(0.9782077703992061), np.float64(0.9728583059817316), np.float64(0.9779915019209728), np.float64(0.9630753377604764), np.float64(0.9709882197287739), np.float64(0.9706669974302216), np.float64(0.9675406457522326), np.float64(0.972750171742615), np.float64(0.9696076930925416), np.float64(0.9756147331904906)]"
24,0.9712568093087709,"[np.float64(0.9773363356486783), np.float64(0.9730682136223698), np.float64(0.9771137063328499), np.float64(0.9630308118973107), np.float64(0.9700595374398902), np.float64(0.9706097498918658), np.float64(0.9662748390708089), np.float64(0.9712490140701727), np.float64(0.9689572492602795), np.float64(0.9748686358534844)]"
25,0.9693543984356708,"[np.float64(0.9749255782001373), np.float64(0.9708291987888965), np.float64(0.9746584230211435), np.float64(0.9591570618018981), np.float64(0.9683357504516195), np.float64(0.9691912831081597), np.float64(0.9647736813983665), np.float64(0.9699132381752029), np.float64(0.9686766656463626), np.float64(0.9730831037649219)]"
26,0.9712446096720198,"[np.float64(0.9771645930336108), np.float64(0.9725911508027377), np.float64(0.9766875302139785), np.float64(0.9623120372490649), np.float64(0.9708037554385162), np.float64(0.9705334198407247), np.float64(0.9681894511869323), np.float64(0.970791033763326), np.float64(0.9686320273441484), np.float64(0.9747410978471585)]"
27,0.9682440274947528,"[np.float64(0.9740668651247997), np.float64(0.9694425361931658), np.float64(0.9733099254509834), np.float64(0.9590807317507569), np.float64(0.9680940386230058), np.float64(0.966996794137852), np.float64(0.9644620003562069), np.float64(0.9693598453044298), np.float64(0.9667699724517907), np.float64(0.9708575655545352)]"
28,0.9739209867034078,"[np.float64(0.9804404243950843), np.float64(0.9755871053100272), np.float64(0.9798870315243111), np.float64(0.9669618095310791), np.float64(0.974823804798616), np.float64(0.9721999592906392), np.float64(0.970320331781289), np.float64(0.9741368343383456), np.float64(0.9688169574533212), np.float64(0.9760356086113662)]"
29,0.9686704156415438,"[np.float64(0.9744294328677199), np.float64(0.9705302394219271), np.float64(0.9732081520494619), np.float64(0.9591570618018982), np.float64(0.9679413785207236), np.float64(0.9691213138946135), np.float64(0.9655306210721828), np.float64(0.9683166679388342), np.float64(0.9672928782777268), np.float64(0.97117641057035)]"
30,0.9722599117912454,"[np.float64(0.9783604305014885), np.float64(0.973551637279597), np.float64(0.9775653258021016), np.float64(0.9648118464239371), np.float64(0.9729600793832531), np.float64(0.9709659567971911), np.float64(0.9683230287764293), np.float64(0.9722413047350075), np.float64(0.9692378328741966), np.float64(0.9745816753392511)]"
31,0.9719799979928023,"[np.float64(0.9779024501946416), np.float64(0.9737361015698547), np.float64(0.9773745006742487), np.float64(0.9642520927155688), np.float64(0.9719614278808233), np.float64(0.9710104826603568), np.float64(0.9678459659567972), np.float64(0.9720441187695597), np.float64(0.969033772064075), np.float64(0.9746390674420976)]"
32,0.971546082854857,"[np.float64(0.9774190265374144), np.float64(0.9732653995878178), np.float64(0.9766938910515737), np.float64(0.9636732564944152), np.float64(0.9717769635905655), np.float64(0.9705461415159148), np.float64(0.9675788107778032), np.float64(0.9712553749077679), np.float64(0.9693334863789409), np.float64(0.9739184777063564)]"
33,0.9725633076818101,"[np.float64(0.9783731521766786), np.float64(0.9747411139098796), np.float64(0.9771645930336106), np.float64(0.96500267155179), np.float64(0.9722158613846271), np.float64(0.9717801440093632), np.float64(0.9699832073887491), np.float64(0.9726165941531181), np.float64(0.9688169574533212), np.float64(0.9749387817569636)]"
34,0.9717088367711412,"[np.float64(0.9774635524005801), np.float64(0.9733608121517442), np.float64(0.9759687555657329), np.float64(0.9633424929394704), np.float64(0.9715988601379031), np.float64(0.9712203903009948), np.float64(0.9689527516983436), np.float64(0.9722603872477928), np.float64(0.9687085501479442), np.float64(0.974211815120906)]"
35,0.9649112666368028,"[np.float64(0.9707401470625653), np.float64(0.9645828562705138), np.float64(0.9685202147418772), np.float64(0.9558176220644734), np.float64(0.9631771111619978), np.float64(0.964032643818538), np.float64(0.963189832837188), np.float64(0.9652125791924282), np.float64(0.9656540148964391), np.float64(0.9681856443220079)]"
36,0.9705132675507073,"[np.float64(0.976305879958273), np.float64(0.9723812431620995), np.float64(0.9740414217744193), np.float64(0.9622547897107091), np.float64(0.9710454672671297), np.float64(0.9689495712795461), np.float64(0.9678459659567972), np.float64(0.9708482813016818), np.float64(0.9683769513314967), np.float64(0.9730831037649219)]"
37,0.9577288047896207,"[np.float64(0.9642012060148081), np.float64(0.9548539551688165), np.float64(0.9620035366257029), np.float64(0.9484072462661884), np.float64(0.9559734625855533), np.float64(0.954822150980841), np.float64(0.9573219601557132), np.float64(0.9577131516678117), np.float64(0.9595640750943781), np.float64(0.9624273033363943)]"
38,0.9722823642629382,"[np.float64(0.9777625117675496), np.float64(0.9742417881586647), np.float64(0.975707961224334), np.float64(0.9650408365773605), np.float64(0.9721840571966516), np.float64(0.9716974531206269), np.float64(0.9700213724143196), np.float64(0.9728583059817317), np.float64(0.9686639118457301), np.float64(0.974645444342414)]"
39,0.9688813255959848,"[np.float64(0.9743372007225912), np.float64(0.9700150115767243), np.float64(0.9724702948884308), np.float64(0.9601557133043279), np.float64(0.9682021728621225), np.float64(0.9688414370404296), np.float64(0.9666946543520851), np.float64(0.9694361753555708), np.float64(0.9673949086827874), np.float64(0.9712656871747781)]"
40,0.9680458922224819,"[np.float64(0.973481668066051), np.float64(0.9691562985013866), np.float64(0.9712617357453629), np.float64(0.9590616492379717), np.float64(0.9666310459761341), np.float64(0.9691849222705646), np.float64(0.9658613846271277), np.float64(0.9681735490929445), np.float64(0.9672546168758289), np.float64(0.9703920518314457)]"
