trial_number,value_for_optimization,fold_metrics
17,0.9041362553657637,"[0.9079445145018915, 0.9041614123581336, 0.9129886506935687, 0.8902900378310215, 0.9155107187894073, 0.9092055485498108, 0.8940731399747793, 0.9066834804539723, 0.898989898989899, 0.9015151515151515]"
18,0.8993432114333755,"[0.9117276166456494, 0.8953341740226987, 0.914249684741488, 0.8839848675914249, 0.905422446406053, 0.9041614123581336, 0.8865069356872636, 0.9003783102143758, 0.898989898989899, 0.8926767676767676]"
19,0.8934155553008013,"[0.8902900378310215, 0.8852459016393442, 0.9041614123581336, 0.8852459016393442, 0.9029003783102144, 0.8940731399747793, 0.8865069356872636, 0.9003783102143758, 0.8888888888888888, 0.8964646464646465]"
20,0.9103177105226283,"[0.9180327868852459, 0.9092055485498108, 0.9243379571248423, 0.8940731399747793, 0.914249684741488, 0.9192938209331651, 0.8953341740226987, 0.9092055485498108, 0.9090909090909091, 0.9103535353535354]"
21,0.9108208503700308,"[0.9155107187894073, 0.9167717528373266, 0.9293820933165196, 0.9003783102143758, 0.9155107187894073, 0.9092055485498108, 0.8953341740226987, 0.9167717528373266, 0.9040404040404041, 0.9053030303030303]"
22,0.9096873527201396,"[0.9104665825977302, 0.9066834804539723, 0.926860025220681, 0.8915510718789408, 0.9167717528373266, 0.914249684741488, 0.8991172761664565, 0.9104665825977302, 0.9078282828282829, 0.9128787878787878]"
23,0.9101927216681313,"[0.9129886506935687, 0.9117276166456494, 0.9192938209331651, 0.89281210592686, 0.9104665825977302, 0.9117276166456494, 0.9029003783102144, 0.9117276166456494, 0.9103535353535354, 0.9179292929292929]"
24,0.9100656629345154,"[0.9192938209331651, 0.9117276166456494, 0.9255989911727617, 0.9029003783102144, 0.914249684741488, 0.905422446406053, 0.8940731399747793, 0.9066834804539723, 0.9040404040404041, 0.9166666666666666]"
25,0.9101908110104834,"[0.9218158890290038, 0.9155107187894073, 0.926860025220681, 0.8965952080706179, 0.9129886506935687, 0.9129886506935687, 0.8915510718789408, 0.9104665825977302, 0.9078282828282829, 0.9053030303030303]"
26,0.908804151222184,"[0.914249684741488, 0.9104665825977302, 0.9243379571248423, 0.8902900378310215, 0.9117276166456494, 0.9104665825977302, 0.8991172761664565, 0.9104665825977302, 0.9078282828282829, 0.9090909090909091]"
27,0.9108218056988548,"[0.9180327868852459, 0.9117276166456494, 0.9344262295081968, 0.89281210592686, 0.9167717528373266, 0.9104665825977302, 0.8940731399747793, 0.9129886506935687, 0.9053030303030303, 0.9116161616161617]"
28,0.9070375890048024,"[0.914249684741488, 0.9079445145018915, 0.9230769230769231, 0.8953341740226987, 0.9104665825977302, 0.9066834804539723, 0.8915510718789408, 0.9129886506935687, 0.9002525252525253, 0.9078282828282829]"
