number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
38,0.9122092615945074,0.9122092615945074,0.5837184578042613,78,0.27218186845141423,0.008557122216753943,27,1,3058,1.6247026070591746,3.3485292970435045,0.8144002509108729,COMPLETE
39,0.91246114996115,0.91246114996115,0.5935713643299982,127,0.3562637051736658,0.009343647198779373,28,1,3092,1.6487129165014167,3.375425932047977,0.7894177726990081,COMPLETE
40,0.9075418434024993,0.9075418434024993,0.5216311108312528,120,0.8863057648970857,0.011633390039339572,28,1,2755,2.230177676719679,2.324146226799605,0.7842299177673069,COMPLETE
41,0.912209420815978,0.912209420815978,0.5899939390483476,70,0.2866241715470216,0.010304949486245602,26,1,3097,1.8191036634483169,3.300584467691996,0.8232759736715634,COMPLETE
42,0.9110736940654973,0.9110736940654973,0.6198599460262393,124,0.3255808088192169,0.009485537703737171,26,1,3071,2.66175446658903,3.2565541010588674,0.852376487918,COMPLETE
43,0.9056506107735618,0.9056506107735618,0.6554646480508084,13,0.774279007372007,0.012539055475751366,29,2,2563,1.299485710438606,3.653672037281205,0.7297303746073949,COMPLETE
44,0.9101904925675417,0.9101904925675417,0.5774421201061753,62,0.3804486411363488,0.00768076493056111,25,2,3254,2.0083799492699983,4.5801743247097315,0.7095942296222703,COMPLETE
45,0.8854705631344976,0.8854705631344976,0.5286626864853323,43,4.7334688620657195,0.013048639026079514,30,1,2748,4.926889105822816,2.736734796914023,0.6281011451440142,COMPLETE
46,0.9120826805253035,0.9120826805253035,0.6071763590778259,160,0.23632629044127962,0.010198920936321113,23,1,2968,0.9583157281556111,1.9105033376066287,0.8312918791949643,COMPLETE
47,0.9081733157552829,0.9081733157552829,0.6431235658010888,301,0.7648076656988854,0.016253414135029863,28,3,3190,1.5245954811670683,3.9317219112738315,0.7687013939630002,COMPLETE
48,0.9075427987313234,0.9075427987313234,0.7138090087110985,114,0.2108185519794776,0.007379713481928316,26,8,2815,1.7504408754251988,2.235589890653538,0.8531895918857818,COMPLETE
49,0.9048938311233394,0.9048938311233394,0.5018148674140889,127,2.131761080771928,0.017831101881696492,22,2,2533,1.199257085355267,3.3500624845855542,0.7412686137307307,COMPLETE
50,0.9059021806972629,0.9059021806972629,0.5889536008743275,139,1.421749613806891,0.013829463848578798,7,1,3296,0.8759662398938171,4.434930935353112,0.6060720658399016,COMPLETE
51,0.912082839746774,0.912082839746774,0.5799859044551099,84,0.2544370064372332,0.008654393684605565,27,1,3055,1.7192490055534395,3.4185119543645004,0.8059768017472146,COMPLETE
52,0.9125875718088832,0.9125875718088832,0.5405071276547928,74,0.023221896266925002,0.008272610497050279,29,1,3062,1.6315341600539106,3.155358747857757,0.7823958662359284,COMPLETE
53,0.9038853223279453,0.9038853223279453,0.5442962306316932,38,0.6337364840605958,0.005878863008736151,29,2,3497,2.089500214126663,1.7072522398577068,0.7183761785833086,COMPLETE
54,0.9069114856000102,0.9069114856000102,0.5358686472555058,63,0.11777852160631941,0.011514826485816608,28,7,2671,1.4788573620545815,3.0954038561900425,0.7716682733275475,COMPLETE
55,0.9113254232106691,0.9113254232106691,0.6134714897497728,193,0.3863549331551397,0.00748420284168989,25,1,3186,2.4643090875480027,2.8126555827382758,0.6941805624249404,COMPLETE
56,0.9074171729909434,0.9074171729909434,0.845444078769594,105,0.0010920116553476912,0.009954116557817316,30,9,3014,1.8800196001270857,2.4945716637884816,0.8851793332301658,COMPLETE
57,0.9079209497242285,0.9079209497242285,0.9705179515942355,251,0.9271261846544305,0.0061454484756788205,26,3,2909,2.202012387990087,3.9248801858429583,0.7510627680280195,COMPLETE
58,0.912966359687671,0.912966359687671,0.6369603221955894,158,0.549951811772982,0.025966758072240928,24,1,3352,0.827053792236143,3.756589343875155,0.6711279629912799,COMPLETE
59,0.9084250449004546,0.9084250449004546,0.6638929243198521,154,0.670251326410055,0.025401997994427918,19,6,3346,0.7753126069068749,4.16902970456365,0.6610474959867588,COMPLETE
60,0.9117046887538691,0.9117046887538691,0.6388020721629457,161,0.5196300356253825,0.01996960288464755,23,1,586,0.9497656918768123,3.7770833924511558,0.6356414997474986,COMPLETE
61,0.91119995669176,0.91119995669176,0.5642943980032028,108,0.21016110704156454,0.026584239832163535,24,1,3181,1.306177248992847,3.516521970995448,0.6016309556281878,COMPLETE
62,0.9076685836931737,0.9076685836931737,0.6086566230556685,141,0.40084995531137035,0.02984811148462873,24,2,3118,3.4405186978064766,3.1882415596840725,0.784750851090652,COMPLETE
63,0.9094337129173194,0.9094337129173194,0.6298038302369136,131,0.6800194905475204,0.008743565220938287,29,2,3294,1.1871132649235667,3.693905730608545,0.6760960974860777,COMPLETE
64,0.9013618212388705,0.9013618212388705,0.7044279689903697,196,3.515321870038478,0.03488026813234191,22,1,2810,1.6081636537246213,2.4661777037716535,0.5695632408547119,COMPLETE
65,0.9137228208949519,0.9137228208949519,0.5940953371380832,173,0.008333572947665487,0.017214879374415473,17,2,2943,0.2290288547131101,2.0762535867057337,0.6435524102988525,COMPLETE
66,0.914984491828754,0.914984491828754,0.5734494379752769,169,0.0231945357231642,0.017531224232539954,17,2,2655,0.24938255875059698,1.6867094081087948,0.6188701512740835,COMPLETE
67,0.9062809685760508,0.9062809685760508,0.5738505583382062,178,2.6112175522626266,0.018248465746846753,17,2,2448,0.22107572073616,1.7856627272964345,0.6440472765108837,COMPLETE
68,0.9123348873348874,0.9123348873348874,0.5573706011632839,171,0.005857498341413364,0.02376197695816947,16,3,2656,0.16370396725032071,2.165410527571896,0.6190603092157017,COMPLETE
69,0.9144796005451742,0.9144796005451742,0.5119091992834895,201,0.1684203705591089,0.016608074257840718,19,3,2952,0.5250029739221944,2.080179826671114,0.6753797258695473,COMPLETE
70,0.9106961799584748,0.9106961799584748,0.5091179578347923,204,0.5534089763458658,0.01618783052075036,19,3,1214,0.47158883652519945,1.695251333436957,0.700511186672285,COMPLETE
71,0.9130916669851097,0.9130916669851097,0.5344040782282966,185,0.14568239383762163,0.02081515468417159,20,2,2965,0.3656658548959224,2.083845056389568,0.6823066460915164,COMPLETE
72,0.9138486058568025,0.9138486058568025,0.5361349887936115,191,0.17147452852575734,0.021163545438092134,17,2,2894,0.5967283171146299,1.4597963417783881,0.6853682859076131,COMPLETE
73,0.913470614085368,0.913470614085368,0.5362776861903021,188,0.14993111851013685,0.02088005823060558,20,2,2869,0.3625551902712115,1.4765226504221955,0.6533793879468117,COMPLETE
74,0.9118293591654248,0.9118293591654248,0.5198335901574339,220,0.1657948004044785,0.01979117386770005,20,3,2873,0.5685198901195345,1.5187723853171855,0.6538776417568749,COMPLETE
