trial_number,value_for_optimization,fold_metrics
0,0.8892514566318093,"[0.9168765743073047, 0.8816120906801007, 0.9093198992443325, 0.8564231738035264, 0.898989898989899, 0.8787878787878788, 0.8863636363636364, 0.8914141414141414, 0.8863636363636364, 0.8863636363636364]"
1,0.8791555352008753,"[0.9017632241813602, 0.8765743073047859, 0.906801007556675, 0.8589420654911839, 0.8838383838383839, 0.8459595959595959, 0.8813131313131313, 0.8914141414141414, 0.8787878787878788, 0.8661616161616161]"
2,0.858219474340381,"[0.8816120906801007, 0.8413098236775819, 0.8916876574307305, 0.836272040302267, 0.8636363636363636, 0.8308080808080808, 0.8636363636363636, 0.8686868686868687, 0.8535353535353535, 0.851010101010101]"
3,0.8920254179070302,"[0.9143576826196473, 0.8841309823677582, 0.9118387909319899, 0.8690176322418136, 0.8939393939393939, 0.8737373737373737, 0.8838383838383839, 0.898989898989899, 0.898989898989899, 0.8914141414141414]"
4,0.8756278146706359,"[0.8916876574307305, 0.8589420654911839, 0.9118387909319899, 0.8513853904282116, 0.8813131313131313, 0.8560606060606061, 0.8762626262626263, 0.8914141414141414, 0.8787878787878788, 0.8585858585858586]"
