number,values_0,value,params_brics_min_freq,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_rings_min_freq,params_side_min_freq,params_subsample,state,user_attrs_cv_recall,user_attrs_val_metric
37,0.8759398496240601,0.8759398496240601,3,0.6075318736575133,29,2.9149250282428083,0.01304861507208576,19,4,1344,1.8606772822897035,0.05764720789472122,3,5,0.7870842016151722,COMPLETE,0.7715927373017697,0.8759398496240601
38,0.8796296296296297,0.8796296296296297,3,0.5766933523947176,59,2.3030409327223538,0.023433259886327593,26,2,813,0.2352295762544574,2.6771767622488984,3,5,0.8560437817401129,COMPLETE,0.7983432927296407,0.8796296296296297
39,0.8813559322033898,0.8813559322033898,3,0.5427034458150972,60,3.2651766391041157,0.04117586312263132,17,1,1066,0.7418577444091543,0.5105042739086962,3,5,0.9062308405283962,COMPLETE,0.7869378686891902,0.8813559322033898
40,0.862708719851577,0.862708719851577,3,0.8412949594926571,24,3.6831411063746136,0.14181157729356775,26,3,1580,1.032545034109857,0.8668392739865465,3,5,0.957907051825272,COMPLETE,0.7930705584923006,0.862708719851577
41,0.8842504743833017,0.8842504743833017,3,0.5150138744505446,45,3.261854346724297,0.039913049885570547,18,1,1063,0.6458705008978832,0.5222123251217192,3,5,0.9102999475561782,COMPLETE,0.7917700911667817,0.8842504743833017
42,0.88996138996139,0.88996138996139,3,0.5342717485443507,43,2.7812263790620046,0.01865939893334678,21,1,1239,0.6580526434628073,1.3672681193458593,3,5,0.7854032722747115,COMPLETE,0.7891308511453305,0.88996138996139
43,0.8757062146892656,0.8757062146892656,3,0.5276355773643703,46,2.6593617989833582,0.018337362478459157,21,3,916,1.5188557170121688,0.5265155230301546,3,5,0.7869976753838697,COMPLETE,0.7869397839577108,0.8757062146892656
44,0.8766603415559773,0.8766603415559773,3,0.5130614735463884,42,2.926760193527048,0.08323660921916168,22,2,1380,1.796496529577483,0.27126992935191785,3,5,0.8554353574851485,COMPLETE,0.7843120355473837,0.8766603415559773
45,0.8895348837209303,0.8895348837209303,3,0.5712134565663377,22,2.4172942337011323,0.007440768366322094,20,4,1229,1.013061281414303,1.2350148637472103,3,5,0.8942167555129121,COMPLETE,0.759754462575653,0.8895348837209303
46,0.8712121212121212,0.8712121212121212,3,0.5664278552662301,21,2.422079436617322,0.0073541027738492516,24,4,1245,1.069305783840335,1.3989097668802812,3,5,0.42600019406679135,COMPLETE,0.7395866850532445,0.8712121212121212
47,0.8806262230919765,0.8806262230919765,3,0.6168188611595509,30,1.7189798926597124,0.0046801083355941814,20,4,1478,2.25309620075223,1.1381255177217433,3,5,0.7851904832015286,COMPLETE,0.7553704129318931,0.8806262230919765
48,0.8759398496240601,0.8759398496240601,3,0.5817972144706358,97,2.524299530762754,0.013654883990307967,25,5,1149,1.3351358975287482,1.862215566243847,3,5,0.9496263103672092,COMPLETE,0.7895694476365587,0.8759398496240601
