SIDECHAINS_Br,SIDECHAINS_C,SIDECHAINS_C#C,SIDECHAINS_C#N,SIDECHAINS_C=C,SIDECHAINS_C=C\C,SIDECHAINS_C=N,SIDECHAINS_C=O,SIDECHAINS_CBr,SIDECHAINS_CC,SIDECHAINS_CC(C)C,SIDECHAINS_CC(C)N,SIDECHAINS_CC(C)O,SIDECHAINS_CC(F)F,SIDECHAINS_CC=C,SIDECHAINS_CC=O,SIDECHAINS_CCC,SIDECHAINS_CCN,SIDECHAINS_CCO,SIDECHAINS_CCS,SIDECHAINS_CCl,SIDECHAINS_CF,SIDECHAINS_CN,SIDECHAINS_CNC,SIDECHAINS_CNS,SIDECHAINS_CO,SIDECHAINS_CS,SIDECHAINS_CS(=O)=O,SIDECHAINS_C_N+_,SIDECHAINS_C_N+_(C)C,SIDECHAINS_C_S+_,SIDECHAINS_C_S+__O-_,SIDECHAINS_Cl,SIDECHAINS_ClC(Cl)Cl,SIDECHAINS_ClCCl,SIDECHAINS_F,SIDECHAINS_FC(F)F,SIDECHAINS_I,SIDECHAINS_N,SIDECHAINS_N=CN,SIDECHAINS_N=O,SIDECHAINS_N=_N+_,SIDECHAINS_NC=O,SIDECHAINS_NC=S,SIDECHAINS_NCN,SIDECHAINS_NN,SIDECHAINS_NO,SIDECHAINS_NS,SIDECHAINS_NS(=O)=O,SIDECHAINS_O,SIDECHAINS_O=CO,SIDECHAINS_O=CS,SIDECHAINS_O=P(O)O,SIDECHAINS_O=S,SIDECHAINS_O=S(=O)O,SIDECHAINS_O=S=O,SIDECHAINS_O=_N+__O-_,SIDECHAINS_OP,SIDECHAINS_OS,SIDECHAINS_S,SIDECHAINS__N+_=O,SIDECHAINS__N+_O,SIDECHAINS__N-_,SIDECHAINS__N-_=_N+_,SIDECHAINS__O-_
-0.0,0.0255072,0.0011703046,-0.00063402066,-0.0035484591,-0.0,0.0002796898,-0.007629825,-0.0,-0.08120469,-0.00016663484,-0.0,-0.0,-0.0,-0.0,0.00914635,-0.11790656,-0.0018588004,-0.019429224,-0.0,0.0005328339,-0.0,0.08420254,-0.0021936595,-0.0,0.06161756,0.0072546047,-0.0007888173,-0.0,-0.0,-0.0,-0.0,-0.023939017,-0.00036339037,-0.0,-0.03981239,-0.0005099714,-0.0,-0.021348212,-0.0,-0.0,-0.0,-0.015601069,-0.0,-0.0,-0.0,-0.0,-0.00035553635,0.0017190288,-0.15884613,0.06621511,-0.0,-0.0,-0.0,-0.0,2.8207724e-05,0.00039456287,-0.0,-0.0,0.00652718,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,0.0041595213,0.0027368953,0.00025813695,-0.0025634328,-0.0,0.00021519035,0.026382482,-0.0,-0.025155744,-0.00031581084,-0.0,-0.0,-0.0,-0.0,-0.008250371,0.0074750166,-0.001490132,-0.0050593223,-0.0,0.0014839832,-0.0,-0.070243336,-0.00083167455,-0.0,-0.110109515,0.004916424,-0.00049982953,-0.0,-0.0,-0.0,-0.0,0.06260407,-0.00021665072,-0.0,-0.054055255,-0.0005282946,-0.0,0.008617623,-0.0,-0.0,-0.0,0.0006833174,-0.0,-0.0,-0.0,-0.0,0.00058721507,0.0011677481,0.2095888,0.0819921,-0.0,-0.0,-0.0,-0.0,0.012293914,-7.23507e-05,-0.0,-0.0,0.007486434,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,0.016421445,0.005859979,-2.9839393e-05,-0.0021918004,-0.0,-0.00031135938,0.008810008,-0.0,0.082537666,-0.00018169223,-0.0,-0.0,-0.0,-0.0,0.119023904,0.022332624,-0.0020446735,-0.0065575326,-0.0,0.0014839832,-0.0,-0.04442599,0.00028481905,-0.0,0.02796268,0.0064323884,-0.00055698876,-0.0,-0.0,-0.0,-0.0,0.12639056,-0.0004031653,-0.0,0.5740244,-0.00043675984,-0.0,0.026412448,-0.0,-0.0,-0.0,-0.00062660663,-0.0,-0.0,-0.0,-0.0,0.00050978473,0.00069624156,-0.07402831,0.029955395,-0.0,-0.0,-0.0,-0.0,-0.0010030003,-0.0027576662,-0.0,-0.0,0.0028075234,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,0.020210424,0.0031718607,3.497269e-05,-0.0026303786,-0.0,-6.127305e-05,0.034602415,-0.0,0.022470701,-0.00016663491,-0.0,-0.0,-0.0,-0.0,0.0143507905,0.007610652,-0.00201716,-0.013110954,-0.0,0.0014839832,-0.0,-0.08329419,-0.0027700958,-0.0,-0.026050895,0.005433923,-0.0005071695,-0.0,-0.0,-0.0,-0.0,-0.034092747,-0.00036339037,-0.0,-0.03485596,-0.0014688795,-0.0,0.0157848,-0.0,-0.0,-0.0,0.015141994,-0.0,-0.0,-0.0,-0.0,0.0007131458,0.00060473895,0.1933594,0.05366398,-0.0,-0.0,-0.0,-0.0,0.00101006,-0.0041616783,-0.0,-0.0,0.0074587665,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.06404768,0.00049447373,0.00021501118,-0.0028371701,-0.0,-0.00036039803,0.10482434,-0.0,0.036169905,-0.00031581084,-0.0,-0.0,-0.0,-0.0,0.011574503,0.0012795762,-0.00041612436,-0.033731963,-0.0,0.0005630292,-0.0,0.29360318,0.03498132,-0.0,-0.055922963,0.007926063,-0.0006868335,-0.0,-0.0,-0.0,-0.0,0.25984293,-0.00022379842,-0.0,-0.055203505,-0.0005591194,-0.0,0.14587516,-0.0,-0.0,-0.0,0.01094299,-0.0,-0.0,-0.0,-0.0,0.00046919406,0.0023691105,0.10749471,0.057289317,-0.0,-0.0,-0.0,-0.0,0.007597088,0.0003814426,-0.0,-0.0,0.0066569285,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,0.18137425,-0.0037357318,-0.0008620663,-0.0020428745,-0.0,-5.997403e-05,0.020375859,-0.0,0.023344014,-0.00016663484,-0.0,-0.0,-0.0,-0.0,0.0028974342,0.0075260624,-0.0022594195,-0.022338983,-0.0,0.0005328339,-0.0,0.020674612,-0.0054051215,-0.0,0.08586977,0.0040751984,-0.0007888173,-0.0,-0.0,-0.0,-0.0,-0.027280826,-0.00036339037,-0.0,-0.028408792,-0.0005099714,-0.0,0.28053468,-0.0,-0.0,-0.0,-0.0009874786,-0.0,-0.0,-0.0,-0.0,-0.00018561975,0.00078694255,0.24168588,0.060646355,-0.0,-0.0,-0.0,-0.0,0.001640244,0.00037159567,-0.0,-0.0,0.0064533507,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.02662005,0.002433808,-2.273747e-05,-0.007442736,-0.0,0.0007153324,0.040325917,-0.0,0.03794152,-0.00031581084,-0.0,-0.0,-0.0,-0.0,0.005445083,0.010661036,-0.0022645781,-0.00816974,-0.0,0.0014839832,-0.0,0.16049485,0.0026554815,-0.0,0.12188709,0.0033068196,-0.00049982953,-0.0,-0.0,-0.0,-0.0,-0.018065618,-0.00036339037,-0.0,-0.045113582,-0.0002563003,-0.0,0.009651031,-0.0,-0.0,-0.0,0.008080971,-0.0,-0.0,-0.0,-0.0,0.00041207165,0.00078916876,0.33745986,0.083029725,-0.0,-0.0,-0.0,-0.0,0.005497406,-0.0012287048,-0.0,-0.0,0.004179115,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,0.040202662,0.0036270232,-7.7089586e-05,-0.0029435859,-0.0,-5.5917655e-05,0.012747316,-0.0,0.021961808,-0.0001558236,-0.0,-0.0,-0.0,-0.0,0.013236815,0.012806334,-0.0017197757,-0.013798144,-0.0,0.0014839832,-0.0,0.099748746,-0.0037203983,-0.0,0.07323631,0.008844334,-0.00049982953,-0.0,-0.0,-0.0,-0.0,0.00424177,-0.00036339037,-0.0,-0.040301252,-0.0014688795,-0.0,0.009116963,-0.0,-0.0,-0.0,0.00018698582,-0.0,-0.0,-0.0,-0.0,0.00028913963,0.0034202223,0.12104699,0.08490923,-0.0,-0.0,-0.0,-0.0,0.0045214775,-0.0010739032,-0.0,-0.0,0.0062174764,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.017954918,0.0029016866,0.0011071687,-0.003238423,-0.0,0.0004050447,0.03277912,-0.0,0.07681931,-0.00031581084,-0.0,-0.0,-0.0,-0.0,0.0034072925,0.0057153846,-0.0010063851,-0.003328621,-0.0,0.0014839832,-0.0,0.35213363,-0.0018324961,-0.0,0.18689933,0.00737121,-0.00049982953,-0.0,-0.0,-0.0,-0.0,-0.018586822,-0.00036339037,-0.0,-0.048473302,-0.0005282946,-0.0,0.0064854287,-0.0,-0.0,-0.0,-0.0018609476,-0.0,-0.0,-0.0,-0.0,-0.00023260433,0.0009699991,-0.042560507,0.09722812,-0.0,-0.0,-0.0,-0.0,0.008668736,-0.00034917588,-0.0,-0.0,0.0062939213,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.061786693,0.0011544763,-0.0009127747,-0.0013983928,-0.0,-0.002081485,-0.31816941,-0.0,-0.012249142,-0.00010997253,-0.0,-0.0,-0.0,-0.0,-0.017904745,0.01057931,-0.032725796,-0.039893553,-0.0,0.0001920696,-0.0,-0.10451153,-0.0060055214,-0.0,0.026475944,0.0014842832,-0.00070792553,-0.0,-0.0,-0.0,-0.0,-0.008916991,-0.00022379842,-0.0,-0.040843774,-0.0001837108,-0.0,0.0094835,-0.0,-0.0,-0.0,0.010589501,-0.0,-0.0,-0.0,-0.0,0.00094064407,0.003042094,-0.015291551,-0.25936455,-0.0,-0.0,-0.0,-0.0,-0.0017504379,-4.4503104e-06,-0.0,-0.0,0.002203479,-0.0,-0.0,-0.0,-0.0,-0.0
