number,values_0,value,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.89959557746443,0.89959557746443,0.8013553327399019,204,2.777025237733504,0.01908067459060173,28,2,1396,2.660648847937086,0.5276328756174203,0.44239287841583186,COMPLETE
1,0.8910192721668132,0.8910192721668132,0.9073921187216385,69,4.822887705422891,0.007625378537711171,17,6,1353,2.5960668480602207,1.9209012058791164,0.5286963131392886,COMPLETE
2,0.9079209497242285,0.9079209497242285,0.7350619430735126,396,0.6863398471859866,0.06867114720474034,7,1,1936,2.9788060015284774,1.1903637874126172,0.8555047793390799,COMPLETE
3,0.886857063701326,0.886857063701326,0.8240200494932637,179,4.639508183553692,0.00860395622420003,8,6,977,4.049103309774216,3.5779329327357736,0.6358277703759511,COMPLETE
4,0.8994701109455209,0.8994701109455209,0.7575391023468132,219,3.339387352702807,0.007101174976120095,20,5,586,0.5155933112658134,4.141526655590735,0.8317690333393667,COMPLETE
