LogP-R,Flexibility-R,HBA-R,HBD-R,TPSA-R,Charge-R,Atom_Stereo-R,LogP-P,Flexibility-P,HBA-P,HBD-P,TPSA-P,Charge-P,Atom_Stereo-P,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.023242844,0.026762715,0.0364561,0.17490177,0.26065388,0.036352996,0.06729727,0.122738905,-0.044551738,0.034951925,0.07100412,0.6719792,0.019481255,0.085249506,0.061784033,-0.08021217,0.14027594,0.14168116,0.072774954,0.08932563,0.18221115,0.20782575,0.008247301,0.2666068,0.0046232473,-1.8485174e-05,0.004334373,0.0004989005,-0.0,-0.0,0.076612175,0.0046518864,0.016786315,0.0633269,-0.11280857,-0.037927397,-0.0042814356,-0.00375351,0.00064385845,-0.0,0.0089754155,0.0025308295,0.027627213,0.04542131,0.011217451,0.007147227,0.0055201915,0.050887685,-0.0,-0.00015116324,-0.0,0.01132287,0.023542149,0.08540479
0.01154609,0.022838958,0.11910522,0.16699506,0.2550887,0.022296095,0.048076946,0.12865655,0.057955798,0.20255901,0.05029592,0.42606977,0.012685622,-0.008626248,0.034348056,-0.052186634,0.00860612,0.059730742,0.040824722,0.015047885,0.117214,0.14581889,0.01971877,0.1681348,0.10355426,-0.00027960434,0.004938241,0.0002749818,-0.0,-0.0,0.009094158,0.012402591,-0.17700675,0.07273537,-0.254153,-0.06282391,0.0013591448,-0.0050444226,0.00076353434,-0.0,0.010421306,0.0027875572,0.020828785,-0.015739115,-0.005494006,-0.0033431998,-0.01165831,-0.0045074434,-0.0,-0.00013894345,-0.0,0.030584134,-0.03147811,0.022712477
-0.21139115,0.16830567,0.074604675,-0.05166011,-0.43576708,0.020780683,0.070942655,-0.6057767,-0.005692949,0.033096656,-0.023197519,0.12993383,0.010468866,0.012192923,-0.040089846,0.11802097,-0.075274564,0.17244242,-0.077438086,-0.10790941,0.062544264,-0.002924592,0.018863037,-0.013471503,-0.027258279,0.00023353164,0.0038826326,-8.038634e-05,-0.0,-0.0,-0.095498785,0.005901359,0.007895332,-0.030667212,0.43086952,0.2732729,0.04514676,-0.006700082,0.0011769215,-0.0,0.01651959,0.005049557,0.008470836,0.0077123893,0.01982361,-0.069985114,-0.009947028,-0.08710897,-0.0,-0.00015208323,-0.0,-0.0066248635,-0.04600421,0.009990446
-0.1697645,-0.033623915,-0.1155063,-0.20117342,-0.47803947,0.008291473,0.025115209,0.036874395,0.07222309,-0.016984481,-0.13762957,-0.95438695,0.0036177787,0.10037958,0.019952584,-0.15470888,0.07151742,-0.06927962,0.012804706,-0.07741263,-0.024121745,0.041262258,-0.03467709,-0.012449006,0.001286094,0.00027531697,0.0029137367,-0.0003082416,-0.0,-0.0,0.006526981,0.08148733,0.0035759478,0.014583922,0.2557103,0.038582228,-0.14728631,0.31768802,0.0055864924,-0.0,-0.19734754,-0.07832818,0.01500631,-0.008986561,0.0018398907,-0.03429517,0.04665259,-0.02844047,-0.0,-0.00113451,-0.0,0.006482237,0.00846679,-0.004880101
0.12002044,0.19389838,0.0651606,0.1381448,0.41669187,0.04421534,0.05321487,0.15229677,0.13884436,0.036830336,0.06507117,1.039761,0.020247491,0.058587447,0.06608888,0.28531957,0.04622282,0.16268294,0.20683257,0.07893264,-0.037136447,0.047440924,0.02565334,-0.024336854,0.12554473,-0.000104982435,0.0045507518,0.0005911969,-0.0,-0.0,0.013881939,0.04817839,0.0126719875,0.004144904,0.49789542,0.2388184,0.095430285,-0.004826138,0.0008978809,-0.0,0.02361137,0.0046079275,0.024495646,0.005963683,0.00642295,0.018671501,-0.0015782459,-0.027701976,-0.0,-0.00015219564,-0.0,0.0073614,0.019898182,-0.06138922
-0.07944048,-0.031027624,-0.13235457,-0.08126104,-0.41887963,0.01150589,0.035106163,0.030411746,-0.06492166,0.0074179894,-0.017725263,-1.4578078,0.005451039,0.009022818,-0.032492757,-0.32452384,0.06153885,-0.09283701,-0.0152991265,0.015670443,-0.0424018,-0.009409508,0.07338409,-0.015608407,-0.004493038,0.000588484,0.003025139,-0.00014138475,-0.0,-0.0,0.026161946,0.027008459,0.0039674095,0.003989475,0.23736069,0.10139205,0.16947514,0.16391423,0.004408196,-0.0,-0.27550486,-0.08788421,-0.016697926,-0.016859185,0.0013260712,-0.028319003,0.10621516,0.05500512,-0.0,-0.0008836129,-0.0,-0.0041569914,0.15700737,-0.03647931
-0.25129747,0.019279363,0.10899975,0.17264597,0.0045854696,0.02668306,0.04443096,0.025613813,0.03927707,-0.015532332,0.065643586,0.42591172,0.015399111,0.037187446,0.048808932,-0.05574579,0.14682853,0.067997806,0.05858807,0.041571554,0.18673463,0.13117114,0.0024954544,-0.015146624,0.01278817,2.082068e-05,0.0036053117,-0.00013499024,-0.0,-0.0,0.056996927,0.036902566,-0.1832117,-0.046955936,-0.17196454,-0.10694732,-0.0011546836,-0.00618426,0.00033554813,-0.0,0.017571395,0.005699215,0.013456646,-0.013862519,-0.013762055,0.004739286,0.009829355,0.06956114,-0.0,-0.00015534523,-0.0,-0.029334249,-0.031758204,0.052175466
0.1342535,0.07453156,0.044630475,0.16130945,0.700024,0.042132933,0.054988924,0.17617086,0.10649934,-0.10266871,0.058165595,1.0107263,0.019996788,0.17962444,0.115011014,-0.01357442,0.021331279,-0.040409636,0.012204891,0.049364284,0.12280611,0.1702949,0.012397352,-0.024417236,-0.012260774,-3.1407806e-05,0.0041401903,0.0005278284,-0.0,-0.0,0.04348027,0.049130462,0.01618734,-0.013319891,0.31696558,-0.06350096,0.0379646,-0.0041950936,0.0011701136,-0.0,0.012806485,0.005027053,0.00224147,0.03048422,0.011157255,0.010005793,0.022231381,-0.049736593,-0.0,-0.0001984248,-0.0,-0.007490406,0.08846292,0.085172996
0.3351827,0.0051874337,0.09388035,0.2496619,0.9549691,0.053667206,0.12529892,0.32944196,0.045639183,-0.08807112,0.15574683,1.0729115,0.028814474,0.1174806,-0.037814118,0.31539986,-0.08512807,0.12154691,0.032848075,0.04746597,0.09867493,0.050078075,0.024959683,-0.013073376,0.028739171,-8.949904e-05,0.004804924,0.0013139396,-0.0,-0.0,-0.081223264,0.0057740747,0.0067890165,-0.00226406,-0.19207366,-0.04880747,-0.0064261286,-0.0004325821,0.0008009889,-0.0,0.01145048,0.0028981701,0.022661222,0.005526962,0.013166832,0.021523219,-0.030494465,-0.026345707,-0.0,-0.00012210135,-0.0,0.012612857,-0.05461548,-0.05139408
0.049498625,0.03747628,0.13949353,0.16066238,0.34837756,0.036370542,0.060902964,0.22303204,-0.031788096,0.04934357,0.07626815,0.6772026,0.019936683,0.082666695,0.057978053,0.061541755,0.026797382,0.019156758,0.038664464,-0.018668195,0.19001754,0.2625988,0.0023110972,-0.018876268,0.0021794336,-6.9119415e-06,0.0043482156,0.00045608642,-0.0,-0.0,0.043215826,0.051506527,0.015156499,0.044785917,-0.123955905,-0.041830953,-0.00031123887,-0.004193984,0.000504804,-0.0,0.008440987,0.0023349356,0.019629356,-0.018683558,-0.0078000873,0.012556227,0.06812653,0.1027626,-0.0,-0.00018071222,-0.0,0.003913423,0.018350447,0.10119183
