trial_number,value_for_optimization,fold_metrics
0,0.8901718575190174,"[0.8959390862944162, 0.8725361366622865, 0.9016602809706258, 0.875, 0.8987012987012987, 0.8891855807743658, 0.8854961832061069, 0.8997429305912596, 0.8837209302325582, 0.899736147757256]"
1,0.8845864949336681,"[0.8888888888888888, 0.8717277486910995, 0.9016602809706258, 0.8690012970168612, 0.8897535667963683, 0.8776595744680851, 0.883183568677792, 0.8883183568677792, 0.8894601542416453, 0.8862115127175368]"
2,0.8972555226577048,"[0.9012658227848102, 0.897172236503856, 0.9090909090909091, 0.8839634941329857, 0.9067357512953368, 0.8941176470588236, 0.8877551020408163, 0.8997429305912596, 0.8976982097186701, 0.89501312335958]"
3,0.8999313579783024,"[0.9123252858958069, 0.9009009009009009, 0.9093198992443325, 0.8828125, 0.9034749034749034, 0.8941176470588236, 0.8919949174078781, 0.9072164948453608, 0.9005102040816326, 0.896640826873385]"
4,0.9024819784401139,"[0.9132075471698113, 0.9043927648578811, 0.9083969465648855, 0.8854568854568855, 0.9034749034749034, 0.9048239895697523, 0.8962025316455696, 0.9051282051282051, 0.9005102040816326, 0.9032258064516129]"
