trial_number,value_for_optimization,fold_metrics
21,0.9080435971808768,"[np.float64(0.9218125842810981), np.float64(0.9079682212553749), np.float64(0.9117306566928733), np.float64(0.894114316973259), np.float64(0.9142241050301503), np.float64(0.9053857211917665), np.float64(0.892794443172277), np.float64(0.9205372363432817), np.float64(0.904040404040404), np.float64(0.9078282828282829)]"
22,0.9105688497061293,"[np.float64(0.923078390962522), np.float64(0.9117529196244561), np.float64(0.9192905121746431), np.float64(0.8978958349235427), np.float64(0.9117083937612905), np.float64(0.9116956720861003), np.float64(0.890278731903417), np.float64(0.916755718392998), np.float64(0.9141414141414141), np.float64(0.9090909090909091)]"
23,0.907161667048317,"[np.float64(0.9167811617433783), np.float64(0.90040200493601), np.float64(0.9092117650052158), np.float64(0.8991584611861689), np.float64(0.9154803704551815), np.float64(0.9066578887107855), np.float64(0.8965696002849655), np.float64(0.9192746100806555), np.float64(0.9040404040404041), np.float64(0.904040404040404)]"
24,0.907414510342722,"[np.float64(0.9142527287993283), np.float64(0.9067087754115462), np.float64(0.920556318856067), np.float64(0.896636389079714), np.float64(0.9104425870798667), np.float64(0.9079077932982216), np.float64(0.8940602498537007), np.float64(0.9117115741800881), np.float64(0.9065656565656566), np.float64(0.9053030303030303)]"
25,0.8958097982342317,"[np.float64(0.9003956440984149), np.float64(0.8890765335979443), np.float64(0.9041771620486986), np.float64(0.8840292089662367), np.float64(0.9028636490853115), np.float64(0.8952783502531614), np.float64(0.8915286364908531), np.float64(0.9053952624481592), np.float64(0.8901515151515151), np.float64(0.8952020202020202)]"
26,0.9007279978627587,"[np.float64(0.8991234765793961), np.float64(0.8941047757168664), np.float64(0.9079427779049946), np.float64(0.8953769432358853), np.float64(0.9117020329236953), np.float64(0.8952847110907565), np.float64(0.8940570694349032), np.float64(0.9117083937612905), np.float64(0.898989898989899), np.float64(0.898989898989899)]"
27,0.9081692237233799,"[np.float64(0.9192968730122382), np.float64(0.9079682212553749), np.float64(0.920556318856067), np.float64(0.8953705823982903), np.float64(0.9079173345546141), np.float64(0.9104298654046765), np.float64(0.8953196956975294), np.float64(0.9167525379742004), np.float64(0.904040404040404), np.float64(0.904040404040404)]"
28,0.9090533801490981,"[np.float64(0.9205626796936621), np.float64(0.9117592804620512), np.float64(0.9205594992748645), np.float64(0.8915827036104114), np.float64(0.912955117929929), np.float64(0.9116893112485052), np.float64(0.8978481286415796), np.float64(0.914233646286543), np.float64(0.9040404040404041), np.float64(0.9053030303030303)]"
29,0.8964411113655448,"[np.float64(0.8928230669414549), np.float64(0.8903296186041778), np.float64(0.9092181258428109), np.float64(0.8789914255909218), np.float64(0.9079077932982216), np.float64(0.8914936518840801), np.float64(0.887750298959367), np.float64(0.9104425870798667), np.float64(0.8964646464646464), np.float64(0.898989898989899)]"
30,0.8966920464086712,"[np.float64(0.8991234765793961), np.float64(0.8865512810726917), np.float64(0.9066928733175584), np.float64(0.8865512810726917), np.float64(0.9066547082919879), np.float64(0.8978036027784139), np.float64(0.8915318169096507), np.float64(0.9028700099229067), np.float64(0.8939393939393939), np.float64(0.8952020202020201)]"
31,0.9064069536676591,"[np.float64(0.920556318856067), np.float64(0.9067087754115462), np.float64(0.9192968730122382), np.float64(0.8877980052413301), np.float64(0.909183141236038), np.float64(0.9079141541358167), np.float64(0.8890256468971834), np.float64(0.9079300562298044), np.float64(0.9090909090909092), np.float64(0.9065656565656566)]"
32,0.9095571584866295,"[np.float64(0.9142590896369234), np.float64(0.9193191359438211), np.float64(0.931900872706918), np.float64(0.8966204869857263), np.float64(0.9104457674986642), np.float64(0.9066451670355953), np.float64(0.890278731903417), np.float64(0.9129710200239167), np.float64(0.9090909090909091), np.float64(0.904040404040404)]"
33,0.9085486476859274,"[np.float64(0.9167748009057832), np.float64(0.9067087754115462), np.float64(0.9293819810192606), np.float64(0.8966236674045238), np.float64(0.9129678396051193), np.float64(0.9028636490853115), np.float64(0.8965886827977508), np.float64(0.9154962725491693), np.float64(0.9053030303030303), np.float64(0.9027777777777777)]"
34,0.9056461974912857,"[np.float64(0.9129869221179046), np.float64(0.9117465587868611), np.float64(0.9155089942243595), np.float64(0.8840133068722489), np.float64(0.910439406661069), np.float64(0.9028636490853115), np.float64(0.8928071648474671), np.float64(0.9142272854489479), np.float64(0.9065656565656566), np.float64(0.9053030303030303)]"
35,0.9096866015316898,"[np.float64(0.9230847518001171), np.float64(0.9142781721497086), np.float64(0.9205531384372694), np.float64(0.8966332086609166), np.float64(0.9117147545988855), np.float64(0.9091735999796453), np.float64(0.895322876116327), np.float64(0.9091863216548355), np.float64(0.9090909090909092), np.float64(0.9078282828282829)]"
36,0.9029984988423276,"[np.float64(0.9155121746431569), np.float64(0.8966204869857263), np.float64(0.9079586799989823), np.float64(0.8877980052413301), np.float64(0.9079205149734118), np.float64(0.8965505177721802), np.float64(0.8965791415413582), np.float64(0.9142272854489479), np.float64(0.898989898989899), np.float64(0.9078282828282829)]"
37,0.9023681398366538,"[np.float64(0.9117274762740758), np.float64(0.91049029336183), np.float64(0.904167620792306), np.float64(0.8840101264534515), np.float64(0.9028827315980967), np.float64(0.9104266849858789), np.float64(0.886500394371931), np.float64(0.9079205149734118), np.float64(0.9053030303030303), np.float64(0.9002525252525253)]"
38,0.9067822430857696,"[np.float64(0.9142495483805307), np.float64(0.91049029336183), np.float64(0.9167748009057832), np.float64(0.8865321985599064), np.float64(0.9142272854489479), np.float64(0.9091704195608478), np.float64(0.8940666106912958), np.float64(0.911705213342493), np.float64(0.9053030303030303), np.float64(0.9053030303030303)]"
39,0.8951807113960767,"[np.float64(0.9041644403735084), np.float64(0.8953674019794926), np.float64(0.9054270666361346), np.float64(0.8802476910159529), np.float64(0.8953037936035417), np.float64(0.902854107828919), np.float64(0.886500394371931), np.float64(0.892800804009872), np.float64(0.8952020202020202), np.float64(0.8939393939393939)]"
40,0.9098119100323132,"[np.float64(0.918034246749612), np.float64(0.9167938834185685), np.float64(0.9167748009057832), np.float64(0.8953674019794926), np.float64(0.9129742004427143), np.float64(0.9079173345546141), np.float64(0.8965855023789533), np.float64(0.9167525379742004), np.float64(0.9078282828282829), np.float64(0.9090909090909092)]"
41,0.9095590667379081,"[np.float64(0.9167748009057832), np.float64(0.91301872630588), np.float64(0.9230752105437243), np.float64(0.894107956135664), np.float64(0.9154867312927766), np.float64(0.907910973717019), np.float64(0.8965918632165484), np.float64(0.9192809709182506), np.float64(0.9078282828282829), np.float64(0.9015151515151515)]"
