SIDECHAINS_Br,SIDECHAINS_C,SIDECHAINS_C#C,SIDECHAINS_C#N,SIDECHAINS_C=C,SIDECHAINS_C=CC,SIDECHAINS_C=C\C,SIDECHAINS_C=N,SIDECHAINS_C=O,SIDECHAINS_CBr,SIDECHAINS_CC,SIDECHAINS_CC(C)C,SIDECHAINS_CC(C)N,SIDECHAINS_CC(C)O,SIDECHAINS_CC(F)F,SIDECHAINS_CC=C,SIDECHAINS_CC=O,SIDECHAINS_CCC,SIDECHAINS_CCN,SIDECHAINS_CCO,SIDECHAINS_CCS,SIDECHAINS_CCl,SIDECHAINS_CF,SIDECHAINS_CN,SIDECHAINS_CNC,SIDECHAINS_CNS,SIDECHAINS_CO,SIDECHAINS_CP,SIDECHAINS_CS,SIDECHAINS_CS(=O)=O,SIDECHAINS_C_N+_,SIDECHAINS_C_N+_(C)C,SIDECHAINS_C_S+_,SIDECHAINS_C_S+__O-_,SIDECHAINS_C\C=C,SIDECHAINS_C\C=N,SIDECHAINS_Cl,SIDECHAINS_ClC(Cl)Cl,SIDECHAINS_ClCCl,SIDECHAINS_F,SIDECHAINS_FC(F)F,SIDECHAINS_FCF,SIDECHAINS_I,SIDECHAINS_N,SIDECHAINS_N=CN,SIDECHAINS_N=N,SIDECHAINS_N=O,SIDECHAINS_N=_N+_,SIDECHAINS_NC=O,SIDECHAINS_NC=S,SIDECHAINS_NCN,SIDECHAINS_NN,SIDECHAINS_NO,SIDECHAINS_NS,SIDECHAINS_NS(=O)=O,SIDECHAINS_O,SIDECHAINS_O=CO,SIDECHAINS_O=CS,SIDECHAINS_O=P,SIDECHAINS_O=P(O)O,SIDECHAINS_O=S,SIDECHAINS_O=S(=O)O,SIDECHAINS_O=S=O,SIDECHAINS_O=_N+__O-_,SIDECHAINS_OP,SIDECHAINS_OS,SIDECHAINS_S,SIDECHAINS__N+_=O,SIDECHAINS__N+_O,SIDECHAINS__N-_,SIDECHAINS__N-_=_N+_,SIDECHAINS__O-_
0.002115979,0.07462609,0.0023036588,0.00077882863,-0.0027289817,-0.0,-0.0,0.0015932136,0.0073818895,-0.0,-0.05959765,0.0038857255,-0.0,-1.192518e-05,-0.0,0.00022375042,0.005714024,-0.20687398,-0.00069672964,-0.016507786,-2.2933607e-05,0.0024769157,1.5296322e-05,0.058525797,-0.00017258598,-0.0,-0.071077205,-0.0,0.0069812876,4.4819284e-05,0.0005704373,2.4887582e-05,-0.0,-0.0,-0.0,-0.0,-0.0103176925,-0.00069246767,-9.018196e-06,-0.026958622,0.0007278441,-0.0,0.001652002,-0.016426371,-0.0,-0.0,2.7025177e-05,-0.0,-0.005113908,-0.0,-0.0,-0.0002986116,0.00059808436,-0.0008583403,0.0013689515,-0.14528494,0.07165464,-0.0,-0.0,-3.655614e-05,-0.0,-9.833082e-06,0.0015110008,0.002669042,-0.0,-0.0,0.006380981,2.7057828e-05,2.2776916e-05,-0.0,-0.0,-0.00078424014
-0.08045672,0.023110453,0.005051649,0.0038520917,0.0012789506,-0.0,-0.0,0.0016162605,0.019336546,-0.0,0.00386196,0.0035351438,-0.0,-8.804616e-06,-0.0,0.0003353646,0.008581476,0.015088417,0.0043278267,-0.0069352877,-2.4568117e-05,0.0028078486,1.5296322e-05,-0.045167837,0.003993915,-0.0,-0.014668639,-0.0,0.009736629,0.0007660834,0.00030741733,3.540826e-05,-0.0,-0.0,-0.0,-0.0,0.060369175,-0.00011884786,-9.018196e-06,-0.014603874,0.00035470616,-0.0,0.001319494,-0.00046688854,-0.0,-0.0,2.8614459e-05,-0.0,0.005342241,-0.0,-0.0,-0.00016438174,0.00066093967,-0.00059016974,0.0019185817,0.16071437,0.084208764,-0.0,-0.0,-3.5030174e-05,-0.0,-9.833082e-06,0.008880182,0.0009766772,-0.0,-0.0,0.00862402,0.00010953581,5.3984757e-05,-0.0,-0.0,0.00020685041
0.00051949685,-0.0024491325,0.003325821,0.00039442373,0.0012812162,-0.0,-0.0,0.0010882353,0.004901048,-0.0,-0.02081538,0.0009483872,-0.0,-2.479376e-05,-0.0,1.9845225e-05,0.05451538,0.0091014905,-0.00024954532,-0.007997287,-2.5687326e-05,0.0008906503,0.00027527995,-0.012449081,0.0020114877,-0.0,0.008824981,-0.0,0.0037298808,3.3095952e-05,4.025118e-05,1.7306515e-05,-0.0,-0.0,-0.0,-0.0,0.11192561,-0.0015831176,-6.1249225e-06,0.41883382,0.0010793624,-0.0,0.0006543495,-0.0014001322,-0.0,-0.0,1.7651038e-05,-0.0,0.0013428831,-0.0,-0.0,-0.00016839779,0.00011600903,-0.00038460776,0.0007417491,-0.057372767,0.06826025,-0.0,-0.0,-3.1511492e-05,-0.0,-7.939924e-06,0.0016516831,0.00069200725,-0.0,-0.0,0.0051163863,5.5756853e-05,1.8114322e-05,-0.0,-0.0,-0.00017235338
0.0014375253,-0.0032104303,0.00284705,0.0031452978,0.0019051381,-0.0,-0.0,0.0013755991,0.019376837,-0.0,0.026183814,0.0021262711,-0.0,-1.7567734e-05,-0.0,0.00021411464,0.004898925,0.010439011,0.0011225551,-0.0087128645,-2.8372811e-05,0.0018698288,3.2182343e-05,-0.058338337,0.00313997,-0.0,-0.021566017,-0.0,0.008199778,0.0003221994,0.00011260882,0.00012754186,-0.0,-0.0,-0.0,-0.0,-0.017009586,-0.00013730902,-9.018196e-06,-0.00956764,0.00012848008,-0.0,0.0016130682,-0.0036354985,-0.0,-0.0,4.2608044e-05,-0.0,0.0057410924,-0.0,-0.0,-0.0002910368,0.0003372867,-0.0005883907,0.0020203362,0.23930827,0.0744359,-0.0,-0.0,-4.8570633e-05,-0.0,-9.833082e-06,0.001783382,0.0008399479,-0.0,-0.0,0.008226222,2.8304932e-05,5.4535747e-05,-0.0,-0.0,-0.0003707276
0.0009923719,-0.022376921,0.00182191,0.0022536656,0.00034359517,-0.0,-0.0,0.0024604043,-0.11443524,-0.0,-0.012028361,0.0027951407,-0.0,-1.1846281e-05,-0.0,0.00017092633,-0.0013650511,0.0053108702,0.0010841655,-0.013228198,-2.838744e-05,0.0016541743,8.694855e-06,0.16481403,-0.0021430065,-0.0,-0.018083258,-0.0,0.006633691,0.00020594335,0.00032749923,0.00012754186,-0.0,-0.0,-0.0,-0.0,0.13104214,-0.00013980712,-6.3217462e-06,-0.025383359,0.0012435551,-0.0,0.001011731,0.03726094,-0.0,-0.0,2.9706363e-05,-0.0,0.0011066223,-0.0,-0.0,-0.0008038089,0.0007688704,-0.0012852509,0.002183271,0.1542452,0.06987175,-0.0,-0.0,-4.3597396e-05,-0.0,-9.833082e-06,0.0024707583,0.00087945565,-0.0,-0.0,0.005442958,4.9268398e-05,8.300408e-06,-0.0,-0.0,-0.000540988
0.0013393806,0.13040054,0.0022586905,0.0017133235,4.312264e-05,-0.0,-0.0,0.0032027226,0.017239327,-0.0,-0.029268548,0.0026502577,-0.0,-8.551664e-06,-0.0,0.00014366918,0.0024632749,0.010714567,-0.00058558024,-0.009308389,-2.2933607e-05,0.001350643,8.694855e-06,0.015303514,0.00083761447,-0.0,0.013045549,-0.0,0.007131024,-1.7820748e-06,9.824442e-05,0.00012754186,-0.0,-0.0,-0.0,-0.0,-0.019526536,-0.00018449503,-4.6520854e-05,-0.013824477,0.00017721264,-0.0,0.001744227,0.14632788,-0.0,-0.0,2.962671e-05,-0.0,-0.0007005577,-0.0,-0.0,-0.00128014,0.0013200638,-0.00044712884,0.0018431231,0.19183196,0.09376587,-0.0,-0.0,-6.078966e-05,-0.0,-8.60531e-06,0.001529691,0.0018271165,-0.0,-0.0,0.009208573,0.0004092222,1.4472975e-05,-0.0,-0.0,0.00013019222
0.0019309289,-0.007371285,0.0067100525,0.004227626,0.0006708653,-0.0,-0.0,0.0015162737,0.019936115,-0.0,0.0028132426,0.0044716857,-0.0,-1.192518e-05,-0.0,0.0002134597,0.0071672625,0.019647608,0.0037312084,-0.0095679695,-2.8380837e-05,0.002908554,1.5296322e-05,0.094137,0.0020652274,-0.0,0.06274774,-0.0,0.008680858,0.00048130722,0.00013846255,3.540826e-05,-0.0,-0.0,-0.0,-0.0,-0.0027196126,-0.00011063903,-9.018196e-06,-0.02366083,0.0011860406,-0.0,0.0015094816,-0.010785128,-0.0,-0.0,2.8537965e-05,-0.0,0.008829235,-0.0,-0.0,-0.00014273285,0.0007575343,-0.00044577615,0.0015761814,0.26288107,0.092160076,-0.0,-0.0,-3.7217837e-05,-0.0,-9.833082e-06,0.007866597,0.00023696906,-0.0,-0.0,0.008067393,9.390905e-05,5.548787e-05,-0.0,-0.0,0.00013223838
0.0022090955,0.03255993,0.008233522,0.0038018092,0.0011211556,-0.0,-0.0,0.0018055283,0.016953515,-0.0,0.040077258,0.004317933,-0.0,-6.1388946e-06,-0.0,7.908887e-05,0.009349975,0.015873272,0.0050909645,-0.0081556635,-2.4555893e-05,0.003932207,1.5296322e-05,0.1112588,0.0033052422,-0.0,0.05660286,-0.0,0.009468768,0.0010466926,0.0003159906,0.00012754186,-0.0,-0.0,-0.0,-0.0,0.0074666836,-0.00050409103,-0.000100388934,-0.01308721,0.0013667732,-0.0,0.0013767523,0.005413499,-0.0,-0.0,2.8537965e-05,-0.0,0.0048299446,-0.0,-0.0,-0.00024648238,0.00068061723,-0.00063758506,0.0013310746,0.14677182,0.08780467,-0.0,-0.0,-3.4379398e-05,-0.0,-8.60531e-06,0.007883447,0.0015494053,-0.0,-0.0,0.007007759,8.891092e-05,5.6420482e-05,-0.0,-0.0,0.00046381343
0.002397936,-0.034393013,0.0047176634,0.003251312,0.0014924316,-0.0,-0.0,0.0023334958,0.019415827,-0.0,0.035159327,0.005395702,-0.0,-1.8619243e-05,-0.0,0.000392936,0.005807222,0.016438713,0.003942055,-0.007951158,-2.8372811e-05,0.0028304392,1.5296322e-05,0.21503569,0.00292307,-0.0,0.07062252,-0.0,0.013104282,0.00038990562,0.0003475658,1.3016409e-05,-0.0,-0.0,-0.0,-0.0,-0.0097637195,-0.00012941669,-9.018196e-06,-0.019631257,0.00045742854,-0.0,0.0012702489,-0.00016460376,-0.0,-0.0,2.8614459e-05,-0.0,0.0070821666,-0.0,-0.0,-0.0001486225,0.00031713874,-0.00017737858,0.0020625326,-0.06784075,0.09966114,-0.0,-0.0,-3.7217837e-05,-0.0,-9.833082e-06,0.0068459474,0.0005579037,-0.0,-0.0,0.009031741,9.355161e-05,5.429698e-05,-0.0,-0.0,0.00014761041
0.00042823088,-0.012823716,0.0008954669,-0.00013136485,0.0007703056,-0.0,-0.0,-0.0022089859,-0.0829354,-0.0,0.004818839,0.00019951379,-0.0,-1.9010673e-05,-0.0,3.0826406e-05,-0.012749787,0.004103538,-0.012182041,-0.027163947,-0.00019425398,0.0003646648,8.694855e-06,-0.039549556,-0.000503987,-0.0,0.00066958414,-0.0,0.0028887698,-0.0007421356,2.8957775e-05,5.391422e-06,-0.0,-0.0,-0.0,-0.0,-0.013001704,-9.4418276e-05,-2.561481e-05,-0.028351191,-0.0002297908,-0.0,0.000294762,-0.012641559,-0.0,-0.0,5.2654846e-06,-0.0,-0.0022575774,-0.0,-0.0,-0.00016849529,-0.00044349008,-0.0011982797,0.000107063766,-0.037072014,-0.3293649,-0.0,-0.0,-0.00015717644,-0.0,-8.938638e-05,-0.0014619736,-0.0011242616,-0.0,-0.0,0.0032400314,4.4589404e-05,9.584391e-06,-0.0,-0.0,-0.00019087033
