"'LogP': entry.get('LogP_PubChem', np.nan) 
                if not pd.isna(entry.get('LogP_PubChem', np.nan)) 
                else entry.get('LogP_RDKit', np.nan),
            'Flexibility': entry.get('Flexibility_PubChem', np.nan) 
                if not pd.isna(entry.get('Flexibility_PubChem', np.nan)) 
                else entry.get('Flexibility_RDKit', np.nan),
            'HBA': entry.get('HBA_PubChem', np.nan) 
                if not pd.isna(entry.get('HBA_PubChem', np.nan)) 
                else entry.get('HBA_RDKit', np.nan),
            'HBD': entry.get('HBD_PubChem', np.nan) 
                if not pd.isna(entry.get('HBD_PubChem', np.nan)) 
                else entry.get('HBD_RDKit', np.nan),
            'TPSA': entry.get('TPSA_PubChem', np.nan) 
                if not pd.isna(entry.get('TPSA_PubChem', np.nan)) 
                else entry.get('TPSA_RDKit', np.nan),
            'Charge': entry.get('Charge_PubChem', np.nan) 
                if not pd.isna(entry.get('Charge_PubChem', np.nan)) 
                else entry.get('Charge_RDKit', np.nan),
            'Atom_Stereo': entry.get('AtomStereo_PubChem', np.nan) 
                if not pd.isna(entry.get('AtomStereo_PubChem', np.nan)) 
                else entry.get('AtomStereo_RDKit', np.nan),'LogP': entry.get('LogP_PubChem', np.nan),
            'Flexibility': entry.get('Flexibility_PubChem', np.nan),
            'HBA': entry.get('HBA_PubChem', np.nan),
            'HBD': entry.get('HBD_PubChem', np.nan),
            'TPSA': entry.get('TPSA_PubChem', np.nan),
            'Charge': entry.get('Charge_PubChem', np.nan),
            'Atom_Stereo': entry.get('AtomStereo_PubChem', np.nan),LogP",Flexibility,HBA,HBD,TPSA,Charge,Atom_Stereo,HeavyAtom,Radius_Of_Gyration,Wiener_Index,Eccentric_Connectivity_Index,Atom_Count_C,Atom_Count_H,Atom_Count_O,Atom_Count_N,Atom_Count_S,Atom_Count_F,Atom_Count_Cl,Atom_Count_Br,Atom_Count_I,Atom_Count_P,Atom_Count_B,Atom_Count_Li,Bond_Count_Single,Bond_Count_Double,Bond_Count_Triple,Bond_Count_Aromatic,Total_Chiral_Centers,R_Isomers,S_Isomers,E_Isomers,Z_Isomers,Num_4_Rings_Aromatic,Num_4_Rings_NonAromatic,Num_4_Rings_Total,Num_5_Rings_Aromatic,Num_5_Rings_NonAromatic,Num_5_Rings_Total,Num_6_Rings_Aromatic,Num_6_Rings_NonAromatic,Num_6_Rings_Total,Num_8_Rings_Aromatic,Num_8_Rings_NonAromatic,Num_8_Rings_Total,Num_Aromatic_Rings,Num_NonAromatic_Rings,Num_Total_Rings
0.25316122,0.14197512,0.11990961,0.2641647,0.41063315,0.041866984,-0.07023444,0.07339197,-0.05827577,-0.034346446,-0.05261387,0.11597493,0.11930519,-0.007121717,0.0049017165,0.00936763,0.21990359,-0.008591355,0.00032782805,0.0037537366,0.00017487176,-0.0,-0.0,0.30036274,0.09830848,0.005710318,0.051012143,0.3284016,0.32810917,0.110576116,-0.0020989694,0.0022639357,-0.0,0.013864262,0.0065856697,0.014503395,0.03416026,0.010909093,-0.00042837058,0.25813958,0.06693231,-0.0,-0.00018630462,-0.00014579289,0.020195791,0.32061556,0.015897334
0.22548993,-0.047683135,0.1104253,0.24843584,1.6131849,0.07925884,0.16968654,0.09669571,0.31730866,0.04699294,0.28557327,0.09161994,0.009388427,0.057515346,0.035323184,0.022284376,-0.021373142,-0.00019879137,0.0010566841,0.0048948005,0.001417977,-0.0,-0.0,-0.015969608,-0.029894099,0.008920283,0.02696976,0.42754164,0.16983451,0.15572794,-0.005563712,0.0007639361,-0.0,0.01135017,0.0034242012,0.026072089,-0.028944246,0.00594819,0.008935397,-0.07455723,-0.054081883,-0.0,-0.00028869297,-0.00010214153,0.013220877,0.03870428,-0.005215577
-0.060229607,-0.02578294,0.08137601,-0.13179186,-0.76319796,0.020295432,-0.22506312,-0.014574365,-0.18376523,0.07955384,-0.0477363,-0.07434376,0.046760675,-0.04168426,-0.036013104,-0.050083593,-0.024702126,-0.007822778,0.001098756,0.0032286095,-4.1168212e-05,-0.0,-0.0,0.06788826,-0.059657548,0.0025888167,-0.028954985,0.19828765,-0.07982401,-0.06637893,-0.013060524,0.0017815873,-0.0,-0.1739949,-0.07672944,-0.011047849,0.0014432488,0.008342331,-0.034345537,0.13219918,0.09657213,-0.0,-0.00042577012,-0.00010700949,0.0014584466,0.12638468,0.24853477
0.26216677,0.16049562,0.15194465,0.09477548,0.35280502,0.03709602,-0.050455388,0.102916546,0.026602056,0.29483202,0.06789637,0.114400074,0.21274489,-0.032936443,0.051218648,0.02024591,0.2530872,-0.008562547,0.0005760161,0.0038454093,5.9407623e-05,-0.0,-0.0,0.3727926,0.06831671,0.0045800554,0.043592714,0.42895147,0.28272256,0.11363708,-0.00376786,0.0019415456,-0.0,0.032149885,0.009211798,0.0104802875,0.017073127,0.019385664,0.0034209462,0.26161668,0.075708784,-0.0,-0.00020477166,-0.00015755135,0.020876596,0.36661056,0.015173622
0.48610157,-0.253639,0.15350634,0.043705966,0.69453835,0.042967863,-0.09603704,-0.03550264,0.08962214,0.19811895,0.038507763,-0.006441663,0.13734557,0.015395767,-0.07099079,0.012647524,-0.03132973,-0.008338447,0.0006795189,0.0039927564,8.560704e-05,-0.0,-0.0,0.1377888,0.019318037,0.011934331,0.0069823037,0.38438854,0.13523486,0.04750671,-0.0041130213,0.0010712289,-0.0,0.011510192,0.0069544623,0.011829754,0.0123205,0.0076753953,-0.010301552,0.20161971,0.070738144,-0.0,-0.0002301173,-0.0001080288,0.015744561,0.28353328,0.022725265
-0.0783191,-0.072627366,-0.2608476,-0.19740078,-1.5853543,0.014762866,-0.035728645,-0.082783565,-0.12128264,0.02344842,-0.12477389,-0.06882873,-0.10127589,-0.12361272,-0.013191007,-0.16193941,-0.018134115,-0.0059207533,0.00021291131,0.0032952242,9.9313445e-05,-0.0,-0.0,-0.049004752,-0.010860324,0.002859144,-0.023377737,0.1982182,0.03670704,-0.069580056,-0.03307759,-0.07279418,-0.0,-0.15734892,-0.05198679,-0.040178433,-0.014161757,-0.018743528,-0.028725978,-0.01286314,-0.062300753,-0.0,-0.0017199188,-0.00054598955,0.00054077187,-0.041293908,-0.048996482
0.14050955,-0.06453429,0.040088043,0.33054316,1.1258103,0.06432838,0.068246655,0.026246507,-0.06059397,0.13036601,0.013243209,0.0545513,0.033687804,0.1476034,0.12692401,0.013183633,-0.027467536,-0.014214487,0.00020376562,-0.12177965,0.0011898321,-0.0,-0.0,-0.0057124547,-7.3863346e-05,-0.19406196,0.015025065,-0.31270587,-0.08638891,-0.0032827908,0.14341252,0.00023969465,-0.0,0.007953787,0.002295092,0.012375299,-0.007382505,0.0019655447,0.008508829,0.05480923,-0.029373735,-0.0,-0.00022130687,-0.000112451,0.015114273,-0.003084206,-0.3121272
0.15593825,-0.07418648,0.14950034,0.071068965,0.084392294,0.038106382,-0.0757631,0.020327171,-0.001249764,0.12651281,-0.10195468,0.09535575,0.12391717,0.0015227459,-0.061203532,-0.040680386,0.27353692,-0.019668406,0.00039288154,0.0034405368,5.3664782e-05,-0.0,-0.0,0.120844215,-0.019133873,0.0056923986,0.012510487,0.4447924,0.24629638,-0.12764117,-0.0035338923,0.0015284917,-0.0,0.016224364,0.006885464,0.015420079,0.017836643,0.02249084,-0.02531169,0.24868466,0.07454786,-0.0,-0.00021278585,-9.614499e-05,0.011344532,0.33857524,0.017457003
0.3097202,0.42077073,0.1623657,0.3113487,1.1083547,0.050539147,0.23171437,-0.1448316,0.30380714,0.06889376,0.2579081,0.004917017,0.07065332,0.08408126,0.22260402,0.025124958,-0.017664613,-0.016209094,0.00037140722,0.0054035974,0.0012987201,-0.0,-0.0,0.08889246,-0.06384886,-0.08922991,0.017461149,0.424694,-0.06597437,0.15809046,-0.0058290903,0.00047936023,-0.0,0.007965544,0.0032313997,0.027433153,0.041187283,0.02847905,0.0098054735,-0.022140607,-0.031949833,-0.0,-0.00023281033,-9.272446e-05,0.009805275,0.026728824,-0.005278442
-0.07684127,0.1494025,0.18717405,-0.113928474,0.039515693,0.035675693,-0.114322536,0.06553165,0.13045184,0.25092065,-0.11278544,0.0024964043,0.1100708,-0.05845156,-0.010172801,0.013532018,0.23876329,-0.015092076,0.0005905512,0.004086777,-1.8366918e-06,-0.0,-0.0,0.103694655,-0.046197683,0.0038363677,0.0008591355,0.6375032,0.5063688,0.12439508,-0.005132315,0.0011445141,-0.0,0.016276434,0.006998355,0.011930309,0.0097641405,0.016596437,-0.016853375,0.24390472,0.04755128,-0.0,-0.00031787707,-0.0001080288,0.013744984,0.35740554,-0.020372102
